,CIK,Company Name,Form Type,Date Filed,Filename,Text
3387,1008654,TUPPERWARE BRANDS CORP,8-K,2015-01-29,edgar/data/1008654/0001008654-15-000002.txt,
23731,1062449,BUFFALO WILD WINGS INC,8-K,2015-02-05,edgar/data/1062449/0001062449-15-000003.txt,
235743,20212,CHURCHILL DOWNS INC,8-K,2015-01-26,edgar/data/20212/0000020212-15-000002.txt,
235744,20212,CHURCHILL DOWNS INC,8-K,2015-02-12,edgar/data/20212/0000020212-15-000004.txt,
235745,20212,CHURCHILL DOWNS INC,8-K,2015-02-25,edgar/data/20212/0000020212-15-000010.txt,
237664,24491,COOPER TIRE & RUBBER CO,8-K,2015-01-30,edgar/data/24491/0001144204-15-004937.txt,
237665,24491,COOPER TIRE & RUBBER CO,8-K,2015-02-23,edgar/data/24491/0001144204-15-011265.txt,
237666,24491,COOPER TIRE & RUBBER CO,8-K,2015-02-24,edgar/data/24491/0001144204-15-011718.txt,
246728,355811,GENTEX CORP,8-K,2015-01-28,edgar/data/355811/0000355811-15-000005.txt,
251437,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-01-27,edgar/data/51548/0000051548-15-000002.txt,
253934,65011,MEREDITH CORP,8-K,2015-01-28,edgar/data/65011/0000065011-15-000004.txt,
253935,65011,MEREDITH CORP,8-K,2015-01-28,edgar/data/65011/0000065011-15-000007.txt,
253936,65011,MEREDITH CORP,8-K,2015-03-09,edgar/data/65011/0000065011-15-000031.txt,
253937,65011,MEREDITH CORP,8-K,2015-03-13,edgar/data/65011/0000065011-15-000034.txt,
255755,703351,BRINKER INTERNATIONAL INC,8-K,2015-01-28,edgar/data/703351/0000703351-15-000003.txt,
255756,703351,BRINKER INTERNATIONAL INC,8-K,2015-02-06,edgar/data/703351/0000703351-15-000011.txt,
255757,703351,BRINKER INTERNATIONAL INC,8-K,2015-02-09,edgar/data/703351/0000703351-15-000014.txt,
255758,703351,BRINKER INTERNATIONAL INC,8-K,2015-03-03,edgar/data/703351/0000703351-15-000018.txt,
255759,703351,BRINKER INTERNATIONAL INC,8-K,2015-03-12,edgar/data/703351/0000703351-15-000024.txt,
256334,706688,AARON'S INC,8-K,2015-02-06,edgar/data/706688/0000706688-15-000036.txt,
256335,706688,AARON'S INC,8-K,2015-02-25,edgar/data/706688/0001193125-15-062646.txt,
260181,724606,PANERA BREAD CO,8-K,2015-02-11,edgar/data/724606/0000724606-15-000002.txt,
260182,724606,PANERA BREAD CO,8-K,2015-03-04,edgar/data/724606/0000724606-15-000008.txt,
261580,730263,THOR INDUSTRIES INC,8-K,2015-01-05,edgar/data/730263/0001144204-15-000268.txt,
261581,730263,THOR INDUSTRIES INC,8-K,2015-03-05,edgar/data/730263/0001144204-15-014236.txt,
261582,730263,THOR INDUSTRIES INC,8-K,2015-03-20,edgar/data/730263/0001144204-15-017541.txt,
267381,768835,BIG LOTS INC,8-K,2015-01-12,edgar/data/768835/0000768835-15-000003.txt,
267382,768835,BIG LOTS INC,8-K,2015-03-10,edgar/data/768835/0000768835-15-000005.txt,
267383,768835,BIG LOTS INC,8-K,2015-03-23,edgar/data/768835/0000768835-15-000016.txt,
271709,794170,TOLL BROTHERS INC,8-K,2015-02-24,edgar/data/794170/0000794170-15-000013.txt,
271710,794170,TOLL BROTHERS INC,8-K,2015-03-11,edgar/data/794170/0000794170-15-000020.txt,
271955,795266,KB HOME,8-K,2015-01-13,edgar/data/795266/0000795266-15-000003.txt,
271956,795266,KB HOME,8-K,2015-01-28,edgar/data/795266/0000795266-15-000009.txt,
271957,795266,KB HOME,8-K,2015-02-12,edgar/data/795266/0001193125-15-046155.txt,
271958,795266,KB HOME,8-K,2015-02-17,edgar/data/795266/0000950123-15-003035.txt,
271959,795266,KB HOME,8-K,2015-03-20,edgar/data/795266/0000795266-15-000016.txt,
273036,800240,OFFICE DEPOT INC,8-K,2015-02-04,edgar/data/800240/0001193125-15-033873.txt,
273037,800240,OFFICE DEPOT INC,8-K,2015-02-06,edgar/data/800240/0001193125-15-037414.txt,
273038,800240,OFFICE DEPOT INC,8-K,2015-02-24,edgar/data/800240/0001193125-15-059034.txt,
273039,800240,OFFICE DEPOT INC,8-K,2015-03-30,edgar/data/800240/0001193125-15-112119.txt,
302271,906163,NVR INC,8-K,2015-01-26,edgar/data/906163/0001144204-15-003718.txt,
303905,910521,DECKERS OUTDOOR CORP,8-K,2015-01-21,edgar/data/910521/0000910521-15-000003.txt,
303906,910521,DECKERS OUTDOOR CORP,8-K,2015-01-29,edgar/data/910521/0001144204-15-004618.txt,
303907,910521,DECKERS OUTDOOR CORP,8-K,2015-03-16,edgar/data/910521/0000910521-15-000008.txt,
307148,916789,HELEN OF TROY LTD,8-K,2015-01-14,edgar/data/916789/0001104659-15-002321.txt,
307149,916789,HELEN OF TROY LTD,8-K,2015-01-20,edgar/data/916789/0001104659-15-003371.txt,
307150,916789,HELEN OF TROY LTD,8-K,2015-02-23,edgar/data/916789/0001104659-15-013037.txt,
308135,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-01-09,edgar/data/919012/0001193125-15-006492.txt,
308136,919012,AMERICAN EAGLE OUTFITTERS INC,8-K,2015-03-06,edgar/data/919012/0001193125-15-081264.txt,
316383,945841,POOL CORP,8-K,2015-02-12,edgar/data/945841/0000945841-15-000011.txt,
316384,945841,POOL CORP,8-K,2015-03-02,edgar/data/945841/0000945841-15-000036.txt,
2721,1008654,TUPPERWARE BRANDS CORP,8-K,2015-04-22,edgar/data/1008654/0001008654-15-000006.txt,
2722,1008654,TUPPERWARE BRANDS CORP,8-K,2015-05-11,edgar/data/1008654/0001008654-15-000010.txt,
2723,1008654,TUPPERWARE BRANDS CORP,8-K,2015-06-12,edgar/data/1008654/0001193125-15-221835.txt,
17898,1062449,BUFFALO WILD WINGS INC,8-K,2015-04-09,edgar/data/1062449/0001062449-15-000010.txt,
17899,1062449,BUFFALO WILD WINGS INC,8-K,2015-04-28,edgar/data/1062449/0001062449-15-000014.txt,
17900,1062449,BUFFALO WILD WINGS INC,8-K,2015-05-11,edgar/data/1062449/0001062449-15-000019.txt,
17901,1062449,BUFFALO WILD WINGS INC,8-K,2015-06-11,edgar/data/1062449/0001062449-15-000022.txt,
196283,20212,CHURCHILL DOWNS INC,8-K,2015-04-27,edgar/data/20212/0000020212-15-000015.txt,
196284,20212,CHURCHILL DOWNS INC,8-K,2015-04-28,edgar/data/20212/0000020212-15-000018.txt,
197698,24491,COOPER TIRE & RUBBER CO,8-K,2015-05-01,edgar/data/24491/0001144204-15-026762.txt,
197699,24491,COOPER TIRE & RUBBER CO,8-K,2015-05-12,edgar/data/24491/0001144204-15-029698.txt,
197700,24491,COOPER TIRE & RUBBER CO,8-K,2015-06-01,edgar/data/24491/0001193125-15-208767.txt,
204125,355811,GENTEX CORP,8-K,2015-04-22,edgar/data/355811/0000355811-15-000021.txt,
204126,355811,GENTEX CORP,8-K,2015-05-05,edgar/data/355811/0000355811-15-000027.txt,
204127,355811,GENTEX CORP,8-K,2015-05-21,edgar/data/355811/0001193125-15-196997.txt,
204128,355811,GENTEX CORP,8-K,2015-05-27,edgar/data/355811/0000355811-15-000029.txt,
204129,355811,GENTEX CORP,8-K,2015-06-22,edgar/data/355811/0000355811-15-000040.txt,
207621,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-04-07,edgar/data/51548/0000051548-15-000015.txt,
207622,51548,INTERNATIONAL SPEEDWAY CORP,8-K,2015-04-08,edgar/data/51548/0000051548-15-000019.txt,
209404,65011,MEREDITH CORP,8-K,2015-04-23,edgar/data/65011/0000065011-15-000039.txt,
209405,65011,MEREDITH CORP,8-K,2015-04-23,edgar/data/65011/0000065011-15-000042.txt,
209406,65011,MEREDITH CORP,8-K,2015-05-14,edgar/data/65011/0000065011-15-000050.txt,
209407,65011,MEREDITH CORP,8-K,2015-06-05,edgar/data/65011/0000065011-15-000057.txt,
210827,703351,BRINKER INTERNATIONAL INC,8-K,2015-04-21,edgar/data/703351/0000703351-15-000026.txt,
210828,703351,BRINKER INTERNATIONAL INC,8-K,2015-05-21,edgar/data/703351/0000703351-15-000032.txt,
210829,703351,BRINKER INTERNATIONAL INC,8-K,2015-06-25,edgar/data/703351/0000703351-15-000036.txt,
