,CIK,Company Name,Form Type,Date Filed,Filename,Text
7348,1020859,UNITED NATURAL FOODS INC,8-K,2015-03-09,edgar/data/1020859/0001020859-15-000034.txt,
33718,1096752,ENERGIZER HOLDINGS INC,8-K,2015-01-27,edgar/data/1096752/0001096752-15-000012.txt,
33719,1096752,ENERGIZER HOLDINGS INC,8-K,2015-01-28,edgar/data/1096752/0001096752-15-000015.txt,
33720,1096752,ENERGIZER HOLDINGS INC,8-K,2015-01-30,edgar/data/1096752/0001096752-15-000020.txt,
33721,1096752,ENERGIZER HOLDINGS INC,8-K,2015-02-27,edgar/data/1096752/0001096752-15-000023.txt,
42609,1128928,FLOWERS FOODS INC,8-K,2015-02-12,edgar/data/1128928/0001193125-15-045628.txt,
42610,1128928,FLOWERS FOODS INC,8-K,2015-02-25,edgar/data/1128928/0001193125-15-061470.txt,
252513,57515,LANCASTER COLONY CORP,8-K,2015-01-29,edgar/data/57515/0000057515-15-000004.txt,
252514,57515,LANCASTER COLONY CORP,8-K,2015-03-16,edgar/data/57515/0000057515-15-000008.txt,
294672,8868,AVON PRODUCTS INC,8-K,2015-01-28,edgar/data/8868/0000008868-15-000003.txt,
294673,8868,AVON PRODUCTS INC,8-K,2015-02-12,edgar/data/8868/0000008868-15-000009.txt,
294674,8868,AVON PRODUCTS INC,8-K,2015-03-12,edgar/data/8868/0000008868-15-000015.txt,
312313,931336,DEAN FOODS CO,8-K,2015-02-10,edgar/data/931336/0000931336-15-000003.txt,
312314,931336,DEAN FOODS CO,8-K,2015-02-23,edgar/data/931336/0001193125-15-057668.txt,
312315,931336,DEAN FOODS CO,8-K,2015-03-03,edgar/data/931336/0001193125-15-073940.txt,
312316,931336,DEAN FOODS CO,8-K,2015-03-10,edgar/data/931336/0001193125-15-085509.txt,
312317,931336,DEAN FOODS CO,8-K,2015-03-27,edgar/data/931336/0001193125-15-107593.txt,
318386,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2015-01-21,edgar/data/98677/0000914760-15-000017.txt,
318387,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2015-02-11,edgar/data/98677/0000098677-15-000002.txt,
5777,1020859,UNITED NATURAL FOODS INC,8-K,2015-06-08,edgar/data/1020859/0001020859-15-000059.txt,
26142,1096752,ENERGIZER HOLDINGS INC,8-K,2015-04-28,edgar/data/1096752/0001096752-15-000036.txt,
26143,1096752,ENERGIZER HOLDINGS INC,8-K,2015-04-30,edgar/data/1096752/0001193125-15-162826.txt,
26144,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-01,edgar/data/1096752/0001096752-15-000038.txt,
26145,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-05,edgar/data/1096752/0001096752-15-000041.txt,
26146,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-06,edgar/data/1096752/0001096752-15-000048.txt,
26147,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-11,edgar/data/1096752/0001193125-15-180705.txt,
26148,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-15,edgar/data/1096752/0001096752-15-000054.txt,
26149,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-18,edgar/data/1096752/0001193125-15-192193.txt,
26150,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-27,edgar/data/1096752/0001193125-15-200378.txt,
26151,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-28,edgar/data/1096752/0001193125-15-204288.txt,
26152,1096752,ENERGIZER HOLDINGS INC,8-K,2015-05-29,edgar/data/1096752/0001193125-15-206721.txt,
26153,1096752,ENERGIZER HOLDINGS INC,8-K,2015-06-02,edgar/data/1096752/0001193125-15-209870.txt,
26154,1096752,ENERGIZER HOLDINGS INC,8-K,2015-06-02,edgar/data/1096752/0001193125-15-210574.txt,
26155,1096752,ENERGIZER HOLDINGS INC,8-K,2015-06-15,edgar/data/1096752/0001193125-15-223382.txt,
26156,1096752,ENERGIZER HOLDINGS INC,8-K,2015-06-29,edgar/data/1096752/0001193125-15-239139.txt,
26157,1096752,ENERGIZER HOLDINGS INC,8-K,2015-06-30,edgar/data/1096752/0001193125-15-241265.txt,
33908,1128928,FLOWERS FOODS INC,8-K,2015-05-28,edgar/data/1128928/0001193125-15-202827.txt,
33909,1128928,FLOWERS FOODS INC,8-K,2015-06-10,edgar/data/1128928/0001193125-15-219356.txt,
208387,57515,LANCASTER COLONY CORP,8-K,2015-04-30,edgar/data/57515/0000057515-15-000011.txt,
241805,8868,AVON PRODUCTS INC,8-K,2015-04-30,edgar/data/8868/0000008868-15-000027.txt,
241806,8868,AVON PRODUCTS INC,8-K,2015-05-12,edgar/data/8868/0000008868-15-000035.txt,
241807,8868,AVON PRODUCTS INC,8-K,2015-06-08,edgar/data/8868/0000008868-15-000044.txt,
255314,931336,DEAN FOODS CO,8-K,2015-05-11,edgar/data/931336/0000931336-15-000012.txt,
255315,931336,DEAN FOODS CO,8-K,2015-05-19,edgar/data/931336/0001193125-15-193440.txt,
259772,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2015-04-29,edgar/data/98677/0000098677-15-000005.txt,
259773,98677,TOOTSIE ROLL INDUSTRIES INC,8-K,2015-05-07,edgar/data/98677/0000098677-15-000007.txt,
4305,1020859,UNITED NATURAL FOODS INC,8-K,2015-08-19,edgar/data/1020859/0001020859-15-000072.txt,
4306,1020859,UNITED NATURAL FOODS INC,8-K,2015-09-15,edgar/data/1020859/0001020859-15-000099.txt,
25213,1128928,FLOWERS FOODS INC,8-K,2015-08-12,edgar/data/1128928/0001193125-15-288280.txt,
25214,1128928,FLOWERS FOODS INC,8-K,2015-08-13,edgar/data/1128928/0001193125-15-289309.txt,
25215,1128928,FLOWERS FOODS INC,8-K,2015-09-09,edgar/data/1128928/0001193125-15-315745.txt,
25216,1128928,FLOWERS FOODS INC,8-K,2015-09-15,edgar/data/1128928/0001193125-15-320346.txt,
166714,57515,LANCASTER COLONY CORP,8-K,2015-08-19,edgar/data/57515/0000057515-15-000016.txt,
166715,57515,LANCASTER COLONY CORP,8-K,2015-08-20,edgar/data/57515/0000057515-15-000019.txt,
193068,8868,AVON PRODUCTS INC,8-K,2015-07-09,edgar/data/8868/0000008868-15-000052.txt,
193069,8868,AVON PRODUCTS INC,8-K,2015-07-30,edgar/data/8868/0000008868-15-000064.txt,
203457,931336,DEAN FOODS CO,8-K,2015-08-07,edgar/data/931336/0001193125-15-283283.txt,
203458,931336,DEAN FOODS CO,8-K,2015-08-10,edgar/data/931336/0000931336-15-000017.txt,
203459,931336,DEAN FOODS CO,8-K,2015-08-13,edgar/data/931336/0001193125-15-289647.txt,
203460,931336,DEAN FOODS CO,8-K,2015-08-14,edgar/data/931336/0000931336-15-000021.txt,
203461,931336,DEAN FOODS CO,8-K,2015-09-16,edgar/data/931336/0001193125-15-320946.txt,
