,Ticker,Name,Market Cap,GICS Sector,Weight
90,INT,WORLD FUEL SERVICES CORP,3196156416,Energy,0.04648832600306374
117,RDC,ROWAN COS PLC,2378325760,Energy,0.03459292002070913
159,SPN,SUPERIOR ENERGY SERVICES INC,2779901184,Energy,0.04043386357787531
167,NBR,NABORS INDUSTRIES LTD,4543352832,Energy,0.06608339521295785
169,NE,NOBLE CORP PLC,1870464640,Energy,0.027206043335747453
175,WNR,WESTERN REFINING INC,4090961664,Energy,0.05950333298771449
177,DNR,DENBURY RESOURCES INC,1390434688,Energy,0.020223973000235113
189,DO,DIAMOND OFFSHORE DRILLING INC,2501974528,Energy,0.036391400285281136
204,HFC,HOLLYFRONTIER CORP,5281467904,Energy,0.07681933226633103
213,PTEN,PATTERSON-UTI ENERGY INC,4901889536,Energy,0.07129833747804126
219,CNX,CONSOL ENERGY INC,3976247296,Energy,0.057834804216680955
225,QEP,QEP RESOURCES INC,4115606272,Energy,0.059861790591724855
230,OIS,OIL STATES INTERNATIONAL INC,2096091392,Energy,0.03048780074582923
256,SM,SM ENERGY CO,2708940288,Energy,0.039401732218407606
267,ESV,ENSCO PLC,3406254592,Energy,0.04954421915323711
270,OII,OCEANEERING INTERNATIONAL INC,2763473664,Energy,0.04019492411253537
276,WPX,WPX ENERGY INC,5464685056,Energy,0.07948423898018596
313,EGN,ENERGEN CORP,5515707392,Energy,0.08022636254383005
331,GPOR,GULFPORT ENERGY CORP,3298895360,Energy,0.04798267136675526
338,DRQ,DRIL-QUIP INC,2470976512,Energy,0.03594053190285708
