,CIK,Company Name,Form Type,Date Filed,Filename,Text
16042,1042893,DRIL-QUIP INC,8-K,2015-02-27,edgar/data/1042893/0001193125-15-069068.txt,
49857,1163739,NABORS INDUSTRIES LTD,8-K,2015-02-09,edgar/data/1163739/0001104659-15-007630.txt,
49858,1163739,NABORS INDUSTRIES LTD,8-K,2015-02-12,edgar/data/1163739/0001104659-15-009601.txt,
49859,1163739,NABORS INDUSTRIES LTD,8-K,2015-02-20,edgar/data/1163739/0001104659-15-012613.txt,
49860,1163739,NABORS INDUSTRIES LTD,8-K,2015-03-03,edgar/data/1163739/0001104659-15-015928.txt,
49861,1163739,NABORS INDUSTRIES LTD,8-K,2015-03-24,edgar/data/1163739/0001104659-15-021895.txt,
49862,1163739,NABORS INDUSTRIES LTD,8-K,2015-03-24,edgar/data/1163739/0001104659-15-022139.txt,
49863,1163739,NABORS INDUSTRIES LTD,8-K,2015-03-30,edgar/data/1163739/0001104659-15-023766.txt,
238656,277595,ENERGEN CORP,8-K,2015-02-13,edgar/data/277595/0001193125-15-048697.txt,
262808,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-02-11,edgar/data/73756/0000073756-15-000002.txt,
262809,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-02-23,edgar/data/73756/0000073756-15-000008.txt,
262810,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-02-23,edgar/data/73756/0000073756-15-000010.txt,
262811,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-03-17,edgar/data/73756/0000073756-15-000013.txt,
262812,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-03-23,edgar/data/73756/0000073756-15-000015.txt,
270502,789460,WORLD FUEL SERVICES CORP,8-K,2015-01-05,edgar/data/789460/0001157523-15-000003.txt,
270503,789460,WORLD FUEL SERVICES CORP,8-K,2015-02-03,edgar/data/789460/0001157523-15-000322.txt,
270504,789460,WORLD FUEL SERVICES CORP,8-K,2015-02-05,edgar/data/789460/0001558370-15-000030.txt,
270505,789460,WORLD FUEL SERVICES CORP,8-K,2015-02-12,edgar/data/789460/0001157523-15-000552.txt,
270506,789460,WORLD FUEL SERVICES CORP,8-K,2015-03-03,edgar/data/789460/0001157523-15-000813.txt,
270507,789460,WORLD FUEL SERVICES CORP,8-K,2015-03-16,edgar/data/789460/0001104659-15-019742.txt,
289669,874499,GULFPORT ENERGY CORP,8-K,2015-02-26,edgar/data/874499/0001193125-15-063388.txt,
289670,874499,GULFPORT ENERGY CORP,8-K,2015-03-19,edgar/data/874499/0001193125-15-098611.txt,
294650,886835,SUPERIOR ENERGY SERVICES INC,8-K,2015-02-20,edgar/data/886835/0001193125-15-054878.txt,
316334,945764,DENBURY RESOURCES INC,8-K,2015-01-15,edgar/data/945764/0000945764-15-000004.txt,
316335,945764,DENBURY RESOURCES INC,8-K,2015-01-29,edgar/data/945764/0000945764-15-000007.txt,
316336,945764,DENBURY RESOURCES INC,8-K,2015-02-19,edgar/data/945764/0000945764-15-000010.txt,
316337,945764,DENBURY RESOURCES INC,8-K,2015-03-26,edgar/data/945764/0000945764-15-000017.txt,
317034,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-01-15,edgar/data/949039/0001193125-15-011942.txt,
317035,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-02-09,edgar/data/949039/0001193125-15-038136.txt,
317036,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-02-12,edgar/data/949039/0001193125-15-046694.txt,
317037,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-03-18,edgar/data/949039/0001193125-15-096924.txt,
317038,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-03-30,edgar/data/949039/0001193125-15-111707.txt,
11913,1042893,DRIL-QUIP INC,8-K,2015-04-30,edgar/data/1042893/0001193125-15-161926.txt,
11914,1042893,DRIL-QUIP INC,8-K,2015-05-20,edgar/data/1042893/0001193125-15-195133.txt,
39979,1163739,NABORS INDUSTRIES LTD,8-K,2015-04-22,edgar/data/1163739/0001104659-15-029119.txt,
39980,1163739,NABORS INDUSTRIES LTD,8-K,2015-04-24,edgar/data/1163739/0001104659-15-030140.txt,
39981,1163739,NABORS INDUSTRIES LTD,8-K,2015-06-08,edgar/data/1163739/0001104659-15-043986.txt,
198462,277595,ENERGEN CORP,8-K,2015-04-06,edgar/data/277595/0001193125-15-120163.txt,
198463,277595,ENERGEN CORP,8-K,2015-04-20,edgar/data/277595/0001193125-15-138335.txt,
198464,277595,ENERGEN CORP,8-K,2015-05-01,edgar/data/277595/0001193125-15-165249.txt,
198465,277595,ENERGEN CORP,8-K,2015-05-07,edgar/data/277595/0001193125-15-176300.txt,
198466,277595,ENERGEN CORP,8-K,2015-06-16,edgar/data/277595/0001193125-15-224796.txt,
198467,277595,ENERGEN CORP,8-K,2015-06-22,edgar/data/277595/0001193125-15-230389.txt,
216388,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-04-23,edgar/data/73756/0000073756-15-000022.txt,
216389,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-05-11,edgar/data/73756/0000073756-15-000027.txt,
216390,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-05-29,edgar/data/73756/0000073756-15-000031.txt,
216391,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-06-30,edgar/data/73756/0000073756-15-000033.txt,
222544,789460,WORLD FUEL SERVICES CORP,8-K,2015-04-16,edgar/data/789460/0001157523-15-001176.txt,
222545,789460,WORLD FUEL SERVICES CORP,8-K,2015-04-30,edgar/data/789460/0001157523-15-001491.txt,
222546,789460,WORLD FUEL SERVICES CORP,8-K,2015-06-02,edgar/data/789460/0001157523-15-001969.txt,
222547,789460,WORLD FUEL SERVICES CORP,8-K,2015-06-04,edgar/data/789460/0001104659-15-043360.txt,
222548,789460,WORLD FUEL SERVICES CORP,8-K,2015-06-08,edgar/data/789460/0001157523-15-002030.txt,
237797,874499,GULFPORT ENERGY CORP,8-K,2015-04-15,edgar/data/874499/0001193125-15-131283.txt,
237798,874499,GULFPORT ENERGY CORP,8-K,2015-04-16,edgar/data/874499/0001193125-15-133490.txt,
237799,874499,GULFPORT ENERGY CORP,8-K,2015-04-21,edgar/data/874499/0001193125-15-140304.txt,
237800,874499,GULFPORT ENERGY CORP,8-K,2015-05-06,edgar/data/874499/0001193125-15-173097.txt,
237801,874499,GULFPORT ENERGY CORP,8-K,2015-06-12,edgar/data/874499/0001193125-15-221815.txt,
237802,874499,GULFPORT ENERGY CORP,8-K,2015-06-24,edgar/data/874499/0001193125-15-233025.txt,
241780,886835,SUPERIOR ENERGY SERVICES INC,8-K,2015-04-01,edgar/data/886835/0001193125-15-116106.txt,
241781,886835,SUPERIOR ENERGY SERVICES INC,8-K,2015-05-01,edgar/data/886835/0001193125-15-164091.txt,
241782,886835,SUPERIOR ENERGY SERVICES INC,8-K,2015-05-28,edgar/data/886835/0001193125-15-204121.txt,
258112,945764,DENBURY RESOURCES INC,8-K,2015-04-28,edgar/data/945764/0000945764-15-000027.txt,
258113,945764,DENBURY RESOURCES INC,8-K,2015-05-06,edgar/data/945764/0000945764-15-000031.txt,
258114,945764,DENBURY RESOURCES INC,8-K,2015-05-22,edgar/data/945764/0000945764-15-000038.txt,
258712,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-04-02,edgar/data/949039/0001193125-15-117850.txt,
258713,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-05-04,edgar/data/949039/0001193125-15-167157.txt,
258714,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-05-05,edgar/data/949039/0001193125-15-172219.txt,
258715,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-05-21,edgar/data/949039/0001193125-15-196939.txt,
258716,949039,DIAMOND OFFSHORE DRILLING INC,8-K,2015-06-12,edgar/data/949039/0001193125-15-221161.txt,
8643,1042893,DRIL-QUIP INC,8-K,2015-07-30,edgar/data/1042893/0001193125-15-270810.txt,
8644,1042893,DRIL-QUIP INC,8-K,2015-08-12,edgar/data/1042893/0001193125-15-288083.txt,
30548,1163739,NABORS INDUSTRIES LTD,8-K,2015-07-15,edgar/data/1163739/0001104659-15-051160.txt,
30549,1163739,NABORS INDUSTRIES LTD,8-K,2015-07-24,edgar/data/1163739/0001104659-15-053094.txt,
30550,1163739,NABORS INDUSTRIES LTD,8-K,2015-08-04,edgar/data/1163739/0001104659-15-055925.txt,
30551,1163739,NABORS INDUSTRIES LTD,8-K,2015-08-26,edgar/data/1163739/0001104659-15-061761.txt,
30552,1163739,NABORS INDUSTRIES LTD,8-K,2015-09-09,edgar/data/1163739/0001104659-15-064227.txt,
158634,277595,ENERGEN CORP,8-K,2015-08-07,edgar/data/277595/0001193125-15-282346.txt,
173078,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-07-22,edgar/data/73756/0000073756-15-000036.txt,
173079,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-08-21,edgar/data/73756/0000073756-15-000041.txt,
173080,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-09-01,edgar/data/73756/0000073756-15-000043.txt,
173081,73756,OCEANEERING INTERNATIONAL INC,8-K,2015-09-08,edgar/data/73756/0000073756-15-000045.txt,
177701,789460,WORLD FUEL SERVICES CORP,8-K,2015-07-16,edgar/data/789460/0001157523-15-002375.txt,
177702,789460,WORLD FUEL SERVICES CORP,8-K,2015-07-30,edgar/data/789460/0001157523-15-002644.txt,
177703,789460,WORLD FUEL SERVICES CORP,8-K,2015-09-09,edgar/data/789460/0001157523-15-003101.txt,
189919,874499,GULFPORT ENERGY CORP,8-K,2015-08-06,edgar/data/874499/0001193125-15-279044.txt,
189920,874499,GULFPORT ENERGY CORP,8-K,2015-09-04,edgar/data/874499/0001193125-15-313092.txt,
189921,874499,GULFPORT ENERGY CORP,8-K,2015-09-14,edgar/data/874499/0001193125-15-319199.txt,
189922,874499,GULFPORT ENERGY CORP,8-K,2015-09-24,edgar/data/874499/0001193125-15-327409.txt,
