Date,SBNY,MBFI,ORI,MSCI,FAF,CBOE,BRO,BOH,ENH,LM,AFG,PRI,RJF,SF,WRB,WETF,CATY,TCB,BXS,CBSH,FNB,TRMK,UMBF,VLY,FULT,PACW,FHN,HBHC,CNO,MCY,FII,FDS,SIVB,MKTX,SLM,KMPR,WBS,WAFD,JNS,CFR,PB,RGA,GNW,IBOC,SNV,THG,Y,EV,SEIC,UMPQ,OZRK,PVTB,NYCB,RNR,EWBC,CHFC,RE,WDR,ASB,AHL
2013-01-02,72.459999,20.950001,10.89,32.130001,24.889999,30.129998999999998,26.17,45.66,40.299999,26.42,39.970001,30.75,39.98,33.23,38.619999,6.47,19.98,12.75,15.0,36.340109000000005,11.34,23.74,44.959998999999996,9.68,10.15,25.790001,10.11,32.700001,9.43,40.509997999999996,21.129998999999998,89.720001,58.240002000000004,36.23,17.400007000000002,30.5,21.25,17.049999,8.95,55.75,43.59,55.25,7.9,18.91,2.6000520000000003,39.189999,343.429993,32.77,24.209999,12.39,34.369999,16.129998999999998,13.41,80.970001,22.290001,24.059998999999998,111.199997,36.139998999999996,13.64,32.459998999999996
2013-01-03,72.400002,20.85,11.21,31.969998999999998,24.93,30.530001000000002,26.309998999999998,46.189999,41.169998,26.09,40.240002000000004,31.23,39.84,33.169998,38.84,6.66,19.549999,12.69,15.07,36.790122,11.47,23.98,44.799999,9.97,10.34,26.52,10.06,32.98,9.4,40.389998999999996,21.52,90.010002,58.98,35.759997999999996,17.350007,30.629998999999998,21.48,17.02,9.07,56.330002,44.279999,55.48,8.13,19.049999,2.570051,39.57,343.980011,32.59,24.18,12.46,34.5,16.07,13.46,80.529999,22.620001000000002,23.93,112.809998,35.91,13.79,32.650002
2013-01-04,73.800003,21.09,11.33,31.85,25.110001,31.25,26.700001,46.91,41.720001,26.32,40.84,31.76,40.91,33.619999,39.040001000000004,7.16,19.75,12.94,15.1,37.130111,11.46,23.84,45.119999,10.1,10.47,26.58,10.46,33.34,9.5,40.549999,22.549999,89.25,60.34,34.959998999999996,17.500007,30.889999,21.74,17.049999,9.26,57.07,44.889998999999996,55.91,8.28,19.360001,2.690054,39.77,348.0,33.09,24.57,12.57,34.630001,16.440001000000002,13.35,80.82,22.959999,23.99,112.779999,36.709998999999996,13.9,33.259997999999996
2013-01-07,74.300003,20.700001,11.07,31.870001000000002,24.879998999999998,31.34,26.620001000000002,46.509997999999996,41.57,26.18,40.639998999999996,31.540001,41.009997999999996,33.279999,39.009997999999996,7.3,19.719998999999998,12.78,15.04,36.980115000000005,11.16,23.65,44.759997999999996,9.99,10.47,26.690001000000002,10.43,33.200001,9.53,39.139998999999996,21.950001,88.910004,59.860001000000004,35.220001,17.38999,30.73,21.559998999999998,17.02,9.09,56.880001,44.360001000000004,55.360001000000004,8.33,19.200001,2.590052,39.529999,345.480011,32.900002,24.75,12.46,34.509997999999996,16.27,13.24,80.279999,22.76,23.969998999999998,110.910004,36.490002000000004,13.87,32.779999
2013-01-08,73.339996,20.690001000000002,11.32,31.790001,25.1,31.23,26.559998999999998,46.32,41.48,25.85,40.560001,31.68,40.959998999999996,33.5,39.119999,7.46,19.530001000000002,12.73,14.96,36.80011,10.99,23.6,44.860001000000004,9.83,10.39,26.639999,10.39,33.009997999999996,9.66,38.349998,21.73,88.470001,60.310001,35.330002,17.439989999999998,30.940001000000002,21.389999,17.030001000000002,9.08,56.709998999999996,44.259997999999996,54.52,8.04,18.940001000000002,2.48005,39.369999,343.299988,32.759997999999996,24.540001,12.4,34.470001,16.16,13.24,80.199997,22.76,23.85,111.510002,36.25,13.54,32.59
2013-01-09,73.559998,20.780001000000002,11.49,31.93,25.299999,31.6,26.35,46.290001000000004,41.900002,26.0,41.150002,31.719998999999998,41.43,33.700001,39.209998999999996,7.47,19.780001000000002,12.75,14.86,36.530116,10.89,23.639999,45.220001,9.75,10.3,26.719998999999998,10.05,32.830002,9.91,39.259997999999996,21.67,88.91999799999999,60.389998999999996,35.790001000000004,17.559997,31.4,21.280001000000002,16.959999,9.15,56.98,44.259997999999996,55.290001000000004,8.14,19.049999,2.4500490000000004,39.75,345.839996,32.740002000000004,24.58,12.4,34.09,16.280001000000002,13.29,80.910004,22.889999,23.99,112.110001,36.220001,13.46,32.68
2013-01-10,74.360001,20.950001,11.52,32.139998999999996,25.1,31.74,26.6,46.490002000000004,41.790001000000004,26.84,41.41,31.85,41.330002,34.259997999999996,39.299999,7.6,19.809998999999998,12.74,14.76,36.80011,10.92,23.629998999999998,45.189999,9.75,10.32,26.65,10.1,32.939999,9.84,39.099998,21.83,88.43,60.900002,35.349998,17.639992000000003,31.700001,21.530001000000002,17.15,9.16,57.099998,44.919998,55.310001,8.23,19.09,2.470049,39.84,351.359985,32.970001,24.82,12.56,34.240002000000004,16.48,13.41,81.519997,22.9,24.01,113.010002,36.509997999999996,13.64,32.900002
2013-01-11,73.050003,20.870001000000002,11.51,31.969998999999998,25.0,31.870001000000002,26.280001000000002,45.84,42.139998999999996,26.52,41.419998,31.799999,41.619999,34.25,39.330002,7.79,19.24,12.61,14.69,36.490119,10.9,23.379998999999998,44.950001,9.62,10.24,25.9,9.97,32.740002000000004,9.79,38.91,22.0,88.870003,60.169998,34.790001000000004,17.370013,31.690001000000002,21.379998999999998,17.09,9.58,56.98,44.599998,55.66,8.11,18.91,2.440049,39.57,350.619995,33.25,24.85,12.38,34.209998999999996,16.190001000000002,13.51,82.489998,22.5,23.76,113.230003,37.349998,13.48,32.779999
2013-01-14,73.300003,20.950001,11.37,31.93,24.91,31.959999,26.389999,46.139998999999996,42.150002,26.700001,41.57,31.950001,41.619999,34.73,39.48,7.77,19.18,12.61,14.65,36.990117,10.96,23.59,45.220001,9.73,10.29,26.139999,9.96,32.84,9.72,39.32,22.07,89.089996,60.080002,35.41,17.359996,31.469998999999998,21.43,17.16,9.76,57.049999,44.689999,55.689999,8.01,19.1,2.50005,39.619999,357.299988,33.259997999999996,24.83,12.44,34.490002000000004,16.41,13.45,83.089996,22.65,23.85,112.940002,37.599998,13.59,32.740002000000004
2013-01-15,74.0,21.18,11.48,32.360001000000004,24.799999,32.25,26.58,46.27,42.02,26.9,41.560001,32.09,41.759997999999996,35.09,39.689999,7.82,19.559998999999998,12.75,14.76,36.500109,11.0,23.58,45.400002,9.87,10.32,26.110001,10.06,32.950001,9.7,39.310001,22.15,91.059998,60.200001,35.98,17.330001,31.41,21.5,17.200001,9.61,57.279999,44.82,55.580002,8.13,19.190001000000002,2.5600509999999996,39.779999,354.179993,33.490002000000004,24.75,12.54,34.619999,16.49,13.45,82.699997,22.76,23.780001000000002,113.699997,38.099998,13.82,32.939999
