,Ticker,Name,Market Cap,GICS Sector,Weight
0,SBNY,SIGNATURE BANK/NEW YORK NY,8727329792,Financials,0.02864664682862754
7,MBFI,MB FINANCIAL INC,3772669696,Financials,0.012383436739315743
22,ORI,OLD REPUBLIC INTERNATIONAL CORP,5456830976,Financials,0.017911539210570367
30,MSCI,MSCI INC,8577634816,Financials,0.02815528701850294
34,FAF,FIRST AMERICAN FINANCIAL CORP,4310471680,Financials,0.014148721639343869
49,CBOE,CBOE HOLDINGS INC,6471936512,Financials,0.021243528544837596
57,BRO,BROWN & BROWN INC,6043014656,Financials,0.01983563251950639
61,BOH,BANK OF HAWAII CORP,3615233280,Financials,0.01186666637373943
74,ENH,ENDURANCE SPECIALTY HOLDINGS LTD,6272487936,Financials,0.020588857178759277
80,LM,LEGG MASON INC,3468136448,Financials,0.011383834729199469
101,AFG,AMERICAN FINANCIAL GROUP INC/OH,8033253888,Financials,0.026368407347821587
103,PRI,PRIMERICA INC,3677854976,Financials,0.01207221625576246
105,RJF,RAYMOND JAMES FINANCIAL INC,11246304256,Financials,0.03691494578837187
112,SF,STIFEL FINANCIAL CORP,3593608192,Financials,0.011795684037407663
123,WRB,WR BERKLEY CORP,8389224448,Financials,0.0275368475416431
133,WETF,WISDOMTREE INVESTMENTS INC,1194801920,Financials,0.003921825970617118
142,CATY,CATHAY GENERAL BANCORP,3075134720,Financials,0.010093843176986526
149,TCB,TCF FINANCIAL CORP,3031809792,Financials,0.009951633137848392
150,BXS,BANCORPSOUTH INC,2912580352,Financials,0.00956027361086158
151,CBSH,COMMERCE BANCSHARES INC/MO,5896660992,Financials,0.019355240254677948
152,FNB,FNB CORP/PA,3234692608,Financials,0.010617577076723828
154,TRMK,TRUSTMARK CORP,2295269632,Financials,0.00753400869354679
156,UMBF,UMB FINANCIAL CORP,3955543296,Financials,0.01298370229113227
158,VLY,VALLEY NATIONAL BANCORP,3252128256,Financials,0.010674807966628105
160,FULT,FULTON FINANCIAL CORP,3266158336,Financials,0.010720860396903608
161,PACW,PACWEST BANCORP,6810232832,Financials,0.02235395469274687
162,FHN,FIRST HORIZON NATIONAL CORP,4736994304,Financials,0.015548742409195794
165,HBHC,HANCOCK HOLDING CO,3944857344,Financials,0.01294862664941053
173,CNO,CNO FINANCIAL GROUP INC,3652301056,Financials,0.01198833789447972
183,MCY,MERCURY GENERAL CORP,3159217920,Financials,0.010369838446104099
193,FII,FEDERATED INVESTORS INC,2710905856,Financials,0.008898295869794744
217,FDS,FACTSET RESEARCH SYSTEMS INC,7073267200,Financials,0.02321734049613364
218,SIVB,SVB FINANCIAL GROUP,9661888512,Financials,0.03171424874473652
226,MKTX,MARKETAXESS HOLDINGS INC,7142764032,Financials,0.023445457371450693
227,SLM,SLM CORP,5331933184,Financials,0.017501573846321256
233,KMPR,KEMPER CORP,2274896384,Financials,0.007467135405368425
239,WBS,WEBSTER FINANCIAL CORP,5042199040,Financials,0.01655054851610274
242,WAFD,WASHINGTON FEDERAL INC,3045373184,Financials,0.009996153708249937
245,JNS,JANUS CAPITAL GROUP INC,2288169728,Financials,0.0075107039202366764
253,CFR,CULLEN/FROST BANKERS INC,5905478144,Financials,0.01938418173453469
257,PB,PROSPERITY BANCSHARES INC,5199475200,Financials,0.017066792856291726
261,RGA,REINSURANCE GROUP OF AMERICA INC,8250693120,Financials,0.027082131365848475
263,GNW,GENWORTH FINANCIAL INC,1864044160,Financials,0.00611855126334679
296,IBOC,INTERNATIONAL BANCSHARES CORP,2526415104,Financials,0.008292722167224629
304,SNV,SYNOVUS FINANCIAL CORP,5217253888,Financials,0.017125149743031493
305,THG,HANOVER INSURANCE GROUP INC/THE,3816983552,Financials,0.01252889284246545
310,Y,ALLEGHANY CORP,9595723776,Financials,0.03149706916405438
323,EV,EATON VANCE CORP,4926558720,Financials,0.016170969941081303
326,SEIC,SEI INVESTMENTS CO,7911944704,Financials,0.025970221254945563
327,UMPQ,UMPQUA HOLDINGS CORP,4223595520,Financials,0.013863558739274634
329,OZRK,BANK OF THE OZARKS INC,6770942464,Financials,0.02222498772086796
346,PVTB,PRIVATEBANCORP INC,4576629760,Financials,0.015022360736302792
357,NYCB,NEW YORK COMMUNITY BANCORP INC,7451972608,Financials,0.024460405710079357
359,RNR,RENAISSANCERE HOLDINGS LTD,5897587200,Financials,0.019358280446133778
360,EWBC,EAST WEST BANCORP INC,7799280640,Financials,0.025600411962916247
370,CHFC,CHEMICAL FINANCIAL CORP,3652903936,Financials,0.01199031679190329
371,RE,EVEREST RE GROUP LTD,9546894336,Financials,0.031336791077187315
383,WDR,WADDELL & REED FINANCIAL INC,1509559296,Financials,0.004954987728207948
395,ASB,ASSOCIATED BANC-CORP,4007678720,Financials,0.013154831962427354
398,AHL,ASPEN INSURANCE HOLDINGS LTD,3357110528,Financials,0.011019402492207701
