,CIK,Company Name,Form Type,Date Filed,Filename,Text
4779,1013237,FACTSET RESEARCH SYSTEMS INC,8-K,2015-01-22,edgar/data/1013237/0001437749-15-001011.txt,
4780,1013237,FACTSET RESEARCH SYSTEMS INC,8-K,2015-02-12,edgar/data/1013237/0001437749-15-002475.txt,
4781,1013237,FACTSET RESEARCH SYSTEMS INC,8-K,2015-02-27,edgar/data/1013237/0001437749-15-003658.txt,
4782,1013237,FACTSET RESEARCH SYSTEMS INC,8-K,2015-03-17,edgar/data/1013237/0001437749-15-005265.txt,
5088,101382,UMB FINANCIAL CORP,8-K,2015-01-27,edgar/data/101382/0001193125-15-021925.txt,
5089,101382,UMB FINANCIAL CORP,8-K,2015-01-30,edgar/data/101382/0001181431-15-001692.txt,
12593,1032033,SLM CORP,8-K,2015-01-21,edgar/data/1032033/0001193125-15-016239.txt,
12594,1032033,SLM CORP,8-K,2015-01-21,edgar/data/1032033/0001628280-15-000186.txt,
12595,1032033,SLM CORP,8-K,2015-01-27,edgar/data/1032033/0001193125-15-021883.txt,
12596,1032033,SLM CORP,8-K,2015-03-30,edgar/data/1032033/0001193125-15-111934.txt,
14507,1038205,BANK OF THE OZARKS INC,8-K,2015-01-02,edgar/data/1038205/0001193125-15-000617.txt,
14508,1038205,BANK OF THE OZARKS INC,8-K,2015-01-15,edgar/data/1038205/0001157523-15-000119.txt,
14509,1038205,BANK OF THE OZARKS INC,8-K,2015-01-16,edgar/data/1038205/0001193125-15-013260.txt,
14510,1038205,BANK OF THE OZARKS INC,8-K,2015-02-05,edgar/data/1038205/0001193125-15-035665.txt,
14511,1038205,BANK OF THE OZARKS INC,8-K,2015-02-06,edgar/data/1038205/0001193125-15-037495.txt,
14512,1038205,BANK OF THE OZARKS INC,8-K,2015-02-10,edgar/data/1038205/0001193125-15-041735.txt,
19138,1052100,WADDELL & REED FINANCIAL INC,8-K,2015-02-03,edgar/data/1052100/0001104659-15-006119.txt,
24921,1065865,JANUS CAPITAL GROUP INC,8-K,2015-01-22,edgar/data/1065865/0001104659-15-003845.txt,
24922,1065865,JANUS CAPITAL GROUP INC,8-K,2015-02-20,edgar/data/1065865/0001104659-15-012392.txt,
25590,1068851,PROSPERITY BANCSHARES INC,8-K,2015-01-23,edgar/data/1068851/0001437749-15-001074.txt,
25664,1069157,EAST WEST BANCORP INC,8-K,2015-01-22,edgar/data/1069157/0001157523-15-000168.txt,
27964,1077771,UMPQUA HOLDINGS CORP,8-K,2015-01-28,edgar/data/1077771/0001077771-15-000007.txt,
27965,1077771,UMPQUA HOLDINGS CORP,8-K,2015-02-17,edgar/data/1077771/0001077771-15-000079.txt,
27966,1077771,UMPQUA HOLDINGS CORP,8-K,2015-03-16,edgar/data/1077771/0001077771-15-000090.txt,
27967,1077771,UMPQUA HOLDINGS CORP,8-K,2015-03-30,edgar/data/1077771/0001077771-15-000095.txt,
33040,1095073,EVEREST RE GROUP LTD,8-K,2015-02-04,edgar/data/1095073/0001095073-15-000003.txt,
35227,1102112,PACWEST BANCORP,8-K,2015-01-22,edgar/data/1102112/0001104659-15-003849.txt,
35228,1102112,PACWEST BANCORP,8-K,2015-02-03,edgar/data/1102112/0001104659-15-006112.txt,
35229,1102112,PACWEST BANCORP,8-K,2015-03-02,edgar/data/1102112/0001104659-15-015450.txt,
35230,1102112,PACWEST BANCORP,8-K,2015-03-05,edgar/data/1102112/0001104659-15-017177.txt,
35231,1102112,PACWEST BANCORP,8-K,2015-03-10,edgar/data/1102112/0001104659-15-018332.txt,
54650,1179755,ENDURANCE SPECIALTY HOLDINGS LTD,8-K,2015-02-05,edgar/data/1179755/0001628280-15-000489.txt,
54651,1179755,ENDURANCE SPECIALTY HOLDINGS LTD,8-K,2015-02-11,edgar/data/1179755/0001193125-15-044246.txt,
54652,1179755,ENDURANCE SPECIALTY HOLDINGS LTD,8-K,2015-03-06,edgar/data/1179755/0001193125-15-080214.txt,
54653,1179755,ENDURANCE SPECIALTY HOLDINGS LTD,8-K,2015-03-31,edgar/data/1179755/0001193125-15-112901.txt,
80811,1267395,ASPEN INSURANCE HOLDINGS LTD,8-K,2015-01-16,edgar/data/1267395/0001267395-15-000002.txt,
80812,1267395,ASPEN INSURANCE HOLDINGS LTD,8-K,2015-02-05,edgar/data/1267395/0001193125-15-035631.txt,
80813,1267395,ASPEN INSURANCE HOLDINGS LTD,8-K,2015-02-05,edgar/data/1267395/0001267395-15-000007.txt,
80814,1267395,ASPEN INSURANCE HOLDINGS LTD,8-K,2015-02-05,edgar/data/1267395/0001267395-15-000009.txt,
83047,1276520,GENWORTH FINANCIAL INC,8-K,2015-01-28,edgar/data/1276520/0001193125-15-022717.txt,
83048,1276520,GENWORTH FINANCIAL INC,8-K,2015-02-10,edgar/data/1276520/0001193125-15-041783.txt,
83439,1278021,MARKETAXESS HOLDINGS INC,8-K,2015-01-21,edgar/data/1278021/0001193125-15-016297.txt,
83440,1278021,MARKETAXESS HOLDINGS INC,8-K,2015-01-28,edgar/data/1278021/0001193125-15-022553.txt,
233788,18349,SYNOVUS FINANCIAL CORP,8-K,2015-01-27,edgar/data/18349/0001193125-15-021026.txt,
233789,18349,SYNOVUS FINANCIAL CORP,8-K,2015-02-20,edgar/data/18349/0001193125-15-056522.txt,
234044,19612,CHEMICAL FINANCIAL CORP,8-K,2015-01-06,edgar/data/19612/0000905729-15-000001.txt,
234045,19612,CHEMICAL FINANCIAL CORP,8-K,2015-01-22,edgar/data/19612/0000019612-15-000002.txt,
