,Ticker,Name,Market Cap,GICS Sector,Weight
12,PBH,PRESTIGE BRANDS HOLDINGS INC,2977135104,Health Care,0.0225958937225354
21,LIVN,LIVANOVA PLC,2348988160,Health Care,0.01782837693443622
66,CTLT,CATALENT INC,3648450560,Health Care,0.02769105137181062
77,HRC,HILL-ROM HOLDINGS INC,4055915264,Health Care,0.030783631595965727
95,THC,TENET HEALTHCARE CORP,1916990336,Health Care,0.014549594958315815
100,OMI,OWENS & MINOR INC,2218637568,Health Care,0.01683904053531069
111,AKRX,AKORN INC,2711461888,Health Care,0.02057948413951226
121,WST,WEST PHARMACEUTICAL SERVICES INC,6361895424,Health Care,0.04828558592502098
135,HYH,HALYARD HEALTH INC,1863700096,Health Care,0.014145132091356719
138,BIO,BIO-RAD LABORATORIES INC,5651210752,Health Care,0.042891623354370065
166,LPNT,LIFEPOINT HEALTH INC,2513760256,Health Care,0.019078966054376745
222,STE,STERIS PLC,5855279104,Health Care,0.04444046364305215
223,MDRX,ALLSCRIPTS HEALTHCARE SOLUTIONS INC,2304379392,Health Care,0.01748980480196331
224,CRL,CHARLES RIVER LABORATORIES INTERNATIONAL,4213827840,Health Care,0.031982158253339686
229,TECH,BIO-TECHNE CORP,3899830272,Health Care,0.02959897595632876
231,TFX,TELEFLEX INC,7792577536,Health Care,0.05914419321833799
277,RMD,RESMED INC,10067562496,Health Care,0.07641089982747361
302,MD,MEDNAX INC,6430493696,Health Care,0.048806233866587015
306,PRXL,PAREXEL INTERNATIONAL CORP,3358416896,Health Care,0.02548975058472295
319,BIVV,BIOVERATIV INC,4806010368,Health Care,0.03647671190965583
342,ABMD,ABIOMED INC,4744046592,Health Care,0.036006418540953204
372,UTHR,UNITED THERAPEUTICS CORP,7026972160,Health Care,0.05333339286659898
373,WCG,WELLCARE HEALTH PLANS INC,6320062976,Health Care,0.04796808553752043
382,ALGN,ALIGN TECHNOLOGY INC,7840640000,Health Care,0.059508978251818015
386,GMED,GLOBUS MEDICAL INC,2577181440,Health Care,0.019560320874820042
391,WOOF,VCA INC,7404428800,Health Care,0.056198217546824615
392,NUVA,NUVASIVE INC,3746374912,Health Care,0.0284342787274208
397,HLS,HEALTHSOUTH CORP,3724751872,Health Care,0.028270163933590425
399,MOH,MOLINA HEALTHCARE INC,3374599168,Health Care,0.025612570975980936
