,Ticker,Name,Market Cap,GICS Sector,Weight
16,TKR,TIMKEN CO/THE,3528898304,Industrials,0.013288172569628599
26,LII,LENNOX INTERNATIONAL INC,6894536192,Industrials,0.025961583138567546
29,EME,EMCOR GROUP INC,4239188736,Industrials,0.01596279252800869
39,FCN,FTI CONSULTING INC,1796742656,Industrials,0.006765688444203133
40,GWR,GENESEE & WYOMING INC,4626048000,Industrials,0.01741952270761307
54,OSK,OSHKOSH CORP,5134013440,Industrials,0.01933228183089987
59,OA,ORBITAL ATK INC,5220369920,Industrials,0.019657459750434973
64,JOY,JOY GLOBAL INC,2775809280,Industrials,0.010452393227429347
65,CSL,CARLISLE COS INC,6775560192,Industrials,0.025513575436602293
68,CLC,CLARCOR INC,4053468672,Industrials,0.01526345804810114
70,CW,CURTISS-WRIGHT CORP,4435642880,Industrials,0.016702546508601344
72,DCI,DONALDSON CO INC,5542416384,Industrials,0.020870135384703035
73,DY,DYCOM INDUSTRIES INC,2517273088,Industrials,0.009478867430186472
76,ESL,ESTERLINE TECHNOLOGIES CORP,2654092288,Industrials,0.009994064237750391
79,GATX,GATX CORP,2344124928,Industrials,0.008826872832443124
81,GGG,GRACO INC,5056107520,Industrials,0.019038924748894345
84,KLXI,KLX INC,2651165952,Industrials,0.009983045031637073
86,HUBB,HUBBELL INC,6776785408,Industrials,0.02551818902425502
88,IEX,IDEX CORP,6971591168,Industrials,0.02625173596537924
92,KMT,KENNAMETAL INC,3101903104,Industrials,0.011680309317357593
102,LECO,LINCOLN ELECTRIC HOLDINGS INC,5537887232,Industrials,0.020853080726794117
107,ROL,ROLLINS INC,7963883520,Industrials,0.029988242624682124
115,TTC,TORO CO/THE,6476076032,Industrials,0.02438585883580385
124,HNI,HNI CORP,2086099328,Industrials,0.007855269684714115
127,MLHR,HERMAN MILLER INC,1806217216,Industrials,0.00680136518449304
136,BEAV,B/E AEROSPACE INC,6304099840,Industrials,0.023738277318769693
144,CLH,CLEAN HARBORS INC,3178406400,Industrials,0.011968384776557161
163,GVA,GRANITE CONSTRUCTION INC,2158793984,Industrials,0.0081290035955845
174,AOS,AO SMITH CORP,8638269440,Industrials,0.03252766306457694
176,KEX,KIRBY CORP,3858710784,Industrials,0.014530091370430964
181,MSA,MSA SAFETY INC,2590365952,Industrials,0.009754100805242777
186,NDSN,NORDSON CORP,6692949504,Industrials,0.025202502409364454
192,ODFL,OLD DOMINION FREIGHT LINE INC,7572072960,Industrials,0.028512868191255883
202,AGCO,AGCO CORP,5157134336,Industrials,0.019419344259325247
203,RBC,REGAL BELOIT CORP,3343685376,Industrials,0.012590747725563102
236,KBR,KBR INC,2443905536,Industrials,0.009202599709214708
237,VMI,VALMONT INDUSTRIES INC,3232585984,Industrials,0.012172399627630264
238,HII,HUNTINGTON INGALLS INDUSTRIES INC,9393304576,Industrials,0.03537077054997219
241,WERN,WERNER ENTERPRISES INC,1970874112,Industrials,0.007421385672572083
244,WSO,WATSCO INC,5340580352,Industrials,0.020110115743177802
247,ITT,ITT INC,3695580160,Industrials,0.013915818105416186
269,MAN,MANPOWERGROUP INC,6467807232,Industrials,0.024354722421014226
280,CPRT,COPART INC,6714744832,Industrials,0.02528457337166659
291,TEX,TEREX CORP,3432218880,Industrials,0.012924123294366659
298,WAB,WABTEC CORP/DE,7727120384,Industrials,0.029096703923856347
303,DNOW,NOW INC,2436434432,Industrials,0.009174467042675378
308,WWD,WOODWARD INC,4304475648,Industrials,0.016208632356323038
317,CAR,AVIS BUDGET GROUP INC,3376719104,Industrials,0.012715137220659806
332,JBLU,JETBLUE AIRWAYS CORP,6364584960,Industrials,0.02396603585506519
336,TRN,TRINITY INDUSTRIES INC,4279936768,Industrials,0.0161162304665503
339,LSTR,LANDSTAR SYSTEM INC,3611472640,Industrials,0.013599108712318444
352,MSM,MSC INDUSTRIAL DIRECT CO INC,5930080768,Industrials,0.02232989726785272
353,CEB,CEB INC,2481571840,Industrials,0.009344433308399121
366,ACM,AECOM,5954797056,Industrials,0.022422967192778684
374,TDY,TELEDYNE TECHNOLOGIES INC,4581160960,Industrials,0.017250499210114224
377,CR,CRANE CO,4297763840,Industrials,0.016183358841680488
379,DLX,DELUXE CORP,3644721664,Industrials,0.013724308910970505
394,ENS,ENERSYS,3424031232,Industrials,0.01289329245987079
