,CIK,Company Name,Form Type,Date Filed,Filename,Text
1557,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2015-01-07,edgar/data/1003078/0001144204-15-001006.txt,
1558,1003078,MSC INDUSTRIAL DIRECT CO INC,8-K,2015-01-15,edgar/data/1003078/0001144204-15-002410.txt,
4596,1012620,GENESEE & WYOMING INC,8-K,2015-01-23,edgar/data/1012620/0001181431-15-001386.txt,
4597,1012620,GENESEE & WYOMING INC,8-K,2015-02-10,edgar/data/1012620/0001157523-15-000482.txt,
4598,1012620,GENESEE & WYOMING INC,8-K,2015-02-25,edgar/data/1012620/0001193125-15-060936.txt,
4599,1012620,GENESEE & WYOMING INC,8-K,2015-03-25,edgar/data/1012620/0001193125-15-105243.txt,
4600,1012620,GENESEE & WYOMING INC,8-K,2015-03-31,edgar/data/1012620/0001181431-15-005313.txt,
9384,102729,VALMONT INDUSTRIES INC,8-K,2015-01-13,edgar/data/102729/0000900440-15-000006.txt,
9385,102729,VALMONT INDUSTRIES INC,8-K,2015-02-18,edgar/data/102729/0000900440-15-000013.txt,
9386,102729,VALMONT INDUSTRIES INC,8-K,2015-02-25,edgar/data/102729/0000900440-15-000017.txt,
18421,105016,WATSCO INC,8-K,2015-02-12,edgar/data/105016/0001193125-15-045444.txt,
21340,105634,EMCOR GROUP INC,8-K,2015-02-26,edgar/data/105634/0000105634-15-000043.txt,
25734,1069202,LENNOX INTERNATIONAL INC,8-K,2015-02-02,edgar/data/1069202/0001193125-15-028688.txt,
32665,1094285,TELEDYNE TECHNOLOGIES INC,8-K,2015-01-07,edgar/data/1094285/0001193125-15-003926.txt,
32666,1094285,TELEDYNE TECHNOLOGIES INC,8-K,2015-01-29,edgar/data/1094285/0001094285-15-000004.txt,
32667,1094285,TELEDYNE TECHNOLOGIES INC,8-K,2015-02-03,edgar/data/1094285/0001094285-15-000006.txt,
32668,1094285,TELEDYNE TECHNOLOGIES INC,8-K,2015-02-18,edgar/data/1094285/0001094285-15-000008.txt,
48132,1158463,JETBLUE AIRWAYS CORP,8-K,2015-01-13,edgar/data/1158463/0001158463-15-000003.txt,
48133,1158463,JETBLUE AIRWAYS CORP,8-K,2015-01-29,edgar/data/1158463/0001158463-15-000008.txt,
48134,1158463,JETBLUE AIRWAYS CORP,8-K,2015-01-29,edgar/data/1158463/0001158463-15-000009.txt,
48135,1158463,JETBLUE AIRWAYS CORP,8-K,2015-02-18,edgar/data/1158463/0001158463-15-000016.txt,
48136,1158463,JETBLUE AIRWAYS CORP,8-K,2015-03-11,edgar/data/1158463/0001158463-15-000018.txt,
48137,1158463,JETBLUE AIRWAYS CORP,8-K,2015-03-30,edgar/data/1158463/0001158463-15-000020.txt,
239100,27996,DELUXE CORP,8-K,2015-01-22,edgar/data/27996/0000027996-15-000002.txt,
239406,29644,DONALDSON CO INC,8-K,2015-01-30,edgar/data/29644/0000897101-15-000117.txt,
239407,29644,DONALDSON CO INC,8-K,2015-01-30,edgar/data/29644/0000897101-15-000119.txt,
239408,29644,DONALDSON CO INC,8-K,2015-02-24,edgar/data/29644/0000897101-15-000237.txt,
239409,29644,DONALDSON CO INC,8-K,2015-03-12,edgar/data/29644/0000897101-15-000328.txt,
244072,33619,ESTERLINE TECHNOLOGIES CORP,8-K,2015-02-02,edgar/data/33619/0001193125-15-029729.txt,
244073,33619,ESTERLINE TECHNOLOGIES CORP,8-K,2015-03-05,edgar/data/33619/0001193125-15-078847.txt,
244074,33619,ESTERLINE TECHNOLOGIES CORP,8-K,2015-03-12,edgar/data/33619/0001193125-15-089307.txt,
244075,33619,ESTERLINE TECHNOLOGIES CORP,8-K,2015-03-23,edgar/data/33619/0001193125-15-100805.txt,
248788,40211,GATX CORP,8-K,2015-01-22,edgar/data/40211/0000040211-15-000003.txt,
248789,40211,GATX CORP,8-K,2015-02-04,edgar/data/40211/0000040211-15-000005.txt,
248790,40211,GATX CORP,8-K,2015-02-05,edgar/data/40211/0001193125-15-035349.txt,
248791,40211,GATX CORP,8-K,2015-03-24,edgar/data/40211/0000040211-15-000011.txt,
249452,42888,GRACO INC,8-K,2015-01-06,edgar/data/42888/0001193125-15-002672.txt,
249453,42888,GRACO INC,8-K,2015-01-27,edgar/data/42888/0001193125-15-021093.txt,
249454,42888,GRACO INC,8-K,2015-03-09,edgar/data/42888/0001193125-15-083389.txt,
249455,42888,GRACO INC,8-K,2015-03-25,edgar/data/42888/0001193125-15-104783.txt,
250228,48287,HNI CORP,8-K,2015-01-16,edgar/data/48287/0000048287-15-000003.txt,
250229,48287,HNI CORP,8-K,2015-02-12,edgar/data/48287/0000048287-15-000006.txt,
250287,48898,HUBBELL INC,8-K,2015-01-29,edgar/data/48898/0001628280-15-000352.txt,
252229,55242,KENNAMETAL INC,8-K,2015-01-29,edgar/data/55242/0000055242-15-000002.txt,
252230,55242,KENNAMETAL INC,8-K,2015-02-02,edgar/data/55242/0001193125-15-029198.txt,
252231,55242,KENNAMETAL INC,8-K,2015-02-19,edgar/data/55242/0001193125-15-053612.txt,
252372,56047,KIRBY CORP,8-K,2015-01-29,edgar/data/56047/0001140361-15-003054.txt,
252921,59527,LINCOLN ELECTRIC HOLDINGS INC,8-K,2015-02-17,edgar/data/59527/0000059527-15-000002.txt,
254336,67215,DYCOM INDUSTRIES INC,8-K,2015-02-25,edgar/data/67215/0000067215-15-000003.txt,
254337,67215,DYCOM INDUSTRIES INC,8-K,2015-02-25,edgar/data/67215/0000067215-15-000005.txt,
254338,67215,DYCOM INDUSTRIES INC,8-K,2015-02-27,edgar/data/67215/0000067215-15-000007.txt,
254339,67215,DYCOM INDUSTRIES INC,8-K,2015-03-03,edgar/data/67215/0000067215-15-000011.txt,
259857,72331,NORDSON CORP,8-K,2015-02-24,edgar/data/72331/0001157523-15-000687.txt,
259858,72331,NORDSON CORP,8-K,2015-02-25,edgar/data/72331/0001299933-15-000297.txt,
259859,72331,NORDSON CORP,8-K,2015-02-26,edgar/data/72331/0001299933-15-000304.txt,
268476,775158,OSHKOSH CORP,8-K,2015-01-27,edgar/data/775158/0001104659-15-004613.txt,
268477,775158,OSHKOSH CORP,8-K,2015-02-06,edgar/data/775158/0001104659-15-007437.txt,
268478,775158,OSHKOSH CORP,8-K,2015-02-17,edgar/data/775158/0001104659-15-010880.txt,
268479,775158,OSHKOSH CORP,8-K,2015-02-18,edgar/data/775158/0001104659-15-011585.txt,
268480,775158,OSHKOSH CORP,8-K,2015-03-02,edgar/data/775158/0001104659-15-015851.txt,
271430,793074,WERNER ENTERPRISES INC,8-K,2015-01-20,edgar/data/793074/0000793074-15-000002.txt,
271431,793074,WERNER ENTERPRISES INC,8-K,2015-01-29,edgar/data/793074/0000793074-15-000004.txt,
271432,793074,WERNER ENTERPRISES INC,8-K,2015-03-10,edgar/data/793074/0000793074-15-000010.txt,
273267,801898,JOY GLOBAL INC,8-K,2015-03-05,edgar/data/801898/0000801898-15-000004.txt,
273268,801898,JOY GLOBAL INC,8-K,2015-03-10,edgar/data/801898/0000801898-15-000008.txt,
279373,822818,CLEAN HARBORS INC,8-K,2015-01-20,edgar/data/822818/0001104659-15-003138.txt,
279374,822818,CLEAN HARBORS INC,8-K,2015-02-25,edgar/data/822818/0001104659-15-013663.txt,
279375,822818,CLEAN HARBORS INC,8-K,2015-03-13,edgar/data/822818/0000822818-15-000005.txt,
280527,82811,REGAL BELOIT CORP,8-K,2015-01-29,edgar/data/82811/0000082811-15-000006.txt,
