,Ticker,Name,Market Cap,GICS Sector,Weight
8,MPWR,MONOLITHIC POWER SYSTEMS INC,3462565376,Information Technology,0.010949234175008838
9,BDC,BELDEN INC,3087077888,Information Technology,0.009761877406413395
10,ACXM,ACXIOM CORP,2208818432,Information Technology,0.006984668197076038
13,WEX,WEX INC,4759351296,Information Technology,0.015049896883459105
15,PAY,VERIFONE SYSTEMS INC,2156781056,Information Technology,0.006820116960115657
18,MMS,MAXIMUS INC,3835664896,Information Technology,0.012129039773302729
20,WBMD,WEBMD HEALTH CORP,1876967936,Information Technology,0.005935299189639618
23,LOGM,LOGMEIN INC,5008748032,Information Technology,0.015838532755542305
33,CLGX,CORELOGIC INC/UNITED STATES,3300080384,Information Technology,0.010435428359337088
36,DST,DST SYSTEMS INC,3740173312,Information Technology,0.011827078769994144
38,AMD,ADVANCED MICRO DEVICES INC,12290279424,Information Technology,0.038864001939834775
41,IPGP,IPG PHOTONICS CORP,6214621184,Information Technology,0.01965171347354993
42,CSC,COMPUTER SCIENCES CORP,9892987904,Information Technology,0.03128334904583354
51,ISIL,INTERSIL CORP,3036000000,Information Technology,0.009600360237451536
55,IT,GARTNER INC,8364250624,Information Technology,0.026449215779554943
58,VSM,VERSUM MATERIALS INC,3212090368,Information Technology,0.010157188619251738
71,DBD,DIEBOLD NIXDORF INC,2197851136,Information Technology,0.006949987698910438
75,BR,BROADRIDGE FINANCIAL SOLUTIONS INC,7990729728,Information Technology,0.02526807771703331
126,MENT,MENTOR GRAPHICS CORP,4074795776,Information Technology,0.012885213222544756
129,TER,TERADYNE INC,5825380352,Information Technology,0.0184208662382649
134,KEYS,KEYSIGHT TECHNOLOGIES INC,6422187520,Information Technology,0.02030807434270932
143,CGNX,COGNEX CORP,5968348160,Information Technology,0.0188729553223093
145,CRUS,CIRRUS LOGIC INC,3427417088,Information Technology,0.01083808917285808
157,FICO,FAIR ISAAC CORP,3989838592,Information Technology,0.012616563824929653
172,IDTI,INTEGRATED DEVICE TECHNOLOGY INC,3319479296,Information Technology,0.01049677109432214
179,CDK,CDK GLOBAL INC,9553083392,Information Technology,0.030208511838476764
180,JBL,JABIL CIRCUIT INC,4584930304,Information Technology,0.01449834735902773
182,CIEN,CIENA CORP,3620560384,Information Technology,0.011448841880054633
184,MSCC,MICROSEMI CORP,6148122624,Information Technology,0.01944143345666199
196,SLAB,SILICON LABORATORIES INC,3016136960,Information Technology,0.00953754984897627
197,CDNS,CADENCE DESIGN SYSTEMS INC,8340768256,Information Technology,0.026374960446212254
199,CY,CYPRESS SEMICONDUCTOR CORP,4066017024,Information Technology,0.012857453281294675
201,TYL,TYLER TECHNOLOGIES INC,5698490880,Information Technology,0.018019619650142364
206,JKHY,JACK HENRY & ASSOCIATES INC,7068182528,Information Technology,0.022350822955487775
210,SNPS,SYNOPSYS INC,9882662912,Information Technology,0.03125069962467122
212,ARRS,ARRIS INTERNATIONAL PLC,5665862656,Information Technology,0.017916443528828707
216,ANSS,ANSYS INC,8510809088,Information Technology,0.02691265914261409
232,TRMB,TRIMBLE INC,7843272704,Information Technology,0.02480179295091258
234,ARW,ARROW ELECTRONICS INC,6421606912,Information Technology,0.020306238359192607
240,IDCC,INTERDIGITAL INC/PA,3471191040,Information Technology,0.010976510025366945
246,ZBRA,ZEBRA TECHNOLOGIES CORP,4506317824,Information Technology,0.01424976101938364
255,LFUS,LITTELFUSE INC,3658992640,Information Technology,0.011570371360403104
266,LDOS,LEIDOS HOLDINGS INC,7677573632,Information Technology,0.024277823655059018
271,CVG,CONVERGYS CORP,2384249600,Information Technology,0.007539412073781203
272,VSH,VISHAY INTERTECHNOLOGY INC,2393985536,Information Technology,0.007570198797380931
274,TECD,TECH DATA CORP,3042050304,Information Technology,0.009619492351399526
278,PLT,PLANTRONICS INC,1812430720,Information Technology,0.005731221283736383
281,FTNT,FORTINET INC,6535702016,Information Technology,0.02066702692959099
282,ULTI,ULTIMATE SOFTWARE GROUP INC/THE,5692282880,Information Technology,0.01799998887400465
283,KN,KNOWLES CORP,1708867968,Information Technology,0.005403737842899145
294,ACIW,ACI WORLDWIDE INC,2289485824,Information Technology,0.007239752526000846
295,NATI,NATIONAL INSTRUMENTS CORP,4086745344,Information Technology,0.012922999835681095
307,NCR,NCR CORP,5750794240,Information Technology,0.018185011974789635
309,AVT,AVNET INC,6014222848,Information Technology,0.01901801906755986
316,VSAT,VIASAT INC,3863647744,Information Technology,0.012217526407449584
320,PTC,PTC INC,6302192128,Information Technology,0.01992862803505642
322,BRCD,BROCADE COMMUNICATIONS SYSTEMS INC,5013523968,Information Technology,0.015853635096145405
341,MANH,MANHATTAN ASSOCIATES INC,3480514560,Information Technology,0.011005992617817895
344,SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORP,3719350016,Information Technology,0.01176123188497073
350,CREE,CREE INC,2489670144,Information Technology,0.007872770176162003
361,JCOM,J2 GLOBAL INC,4013213440,Information Technology,0.012690479161324802
365,CVLT,COMMVAULT SYSTEMS INC,2290046976,Information Technology,0.007241526986260387
368,NTCT,NETSCOUT SYSTEMS INC,3363991040,Information Technology,0.010637524973504361
369,SYNA,SYNAPTICS INC,2015761024,Information Technology,0.006374187082679247
378,DDD,3D SYSTEMS CORP,1966294656,Information Technology,0.006217765820347776
381,SNX,SYNNEX CORP,4767375360,Information Technology,0.015075270369944074
387,NSR,NEUSTAR INC,1844667392,Information Technology,0.005833159249499416
