,Ticker,Name,Market Cap,GICS Sector,Weight
35,BMS,BEMIS CO INC,4569367552,Materials,0.032336736695278236
47,UFS,DOMTAR CORP,2535331840,Materials,0.01794216753461887
50,STLD,STEEL DYNAMICS INC,9218654208,Materials,0.0652390490404819
53,MTX,MINERALS TECHNOLOGIES INC,2756342016,Materials,0.019506223782438326
63,CBT,CABOT CORP,3643192320,Materials,0.02578233189635515
69,CMC,COMMERCIAL METALS CO,2565567744,Materials,0.01815614254434724
82,POL,POLYONE CORP,2830924800,Materials,0.020034035086905
99,OLN,OLIN CORP,4953730048,Materials,0.035056813092558155
106,OI,OWENS-ILLINOIS INC,3234092288,Materials,0.022887191624475813
118,SXT,SENSIENT TECHNOLOGIES CORP,3500174592,Materials,0.024770216639601796
128,SON,SONOCO PRODUCTS CO,5320946688,Materials,0.03765555080902995
137,X,UNITED STATES STEEL CORP,6774191616,Materials,0.04793994970137026
153,NEU,NEWMARKET CORP,5127268352,Materials,0.03628491794057743
171,PKG,PACKAGING CORP OF AMERICA,8964692992,Materials,0.06344180316801752
198,CRS,CARPENTER TECHNOLOGY CORP,1972094464,Materials,0.013956220132186876
200,ATI,ALLEGHENY TECHNOLOGIES INC,2346292736,Materials,0.016604365823201777
208,RGLD,ROYAL GOLD INC,4683995648,Materials,0.033147942735512546
211,RPM,RPM INTERNATIONAL INC,7007387136,Materials,0.0495902398220365
214,SMG,SCOTTS MIRACLE-GRO CO/THE,5592252416,Materials,0.03957554122136104
215,RS,RELIANCE STEEL & ALUMINUM CO,6117153280,Materials,0.04329018681227279
235,VAL,VALSPAR CORP/THE,8789731328,Materials,0.06220362541231052
265,GEF,GREIF INC,3080698112,Materials,0.021801643783674503
275,ATR,APTARGROUP INC,4628510720,Materials,0.03275528412644374
284,EXP,EAGLE MATERIALS INC,5222025216,Materials,0.03695549821812528
288,ASH,ASHLAND GLOBAL HOLDINGS INC,7495887872,Materials,0.053047287103901046
293,SLGN,SILGAN HOLDINGS INC,3343807488,Materials,0.023663629828121067
325,LPX,LOUISIANA-PACIFIC CORP,3356521216,Materials,0.023753602996195812
351,CC,CHEMOURS CO/THE,5831426560,Materials,0.04126814117766382
380,WOR,WORTHINGTON INDUSTRIES INC,3137200896,Materials,0.022201505608744464
393,CMP,COMPASS MINERALS INTERNATIONAL INC,2706310144,Materials,0.019152155642192588
