,CIK,Company Name,Form Type,Date Filed,Filename,Text
6765,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-01-20,edgar/data/1018963/0001157523-15-000139.txt,
6766,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-02-02,edgar/data/1018963/0001157523-15-000307.txt,
6767,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-03-03,edgar/data/1018963/0001193125-15-075095.txt,
8025,1022671,STEEL DYNAMICS INC,8-K,2015-01-29,edgar/data/1022671/0001104659-15-005296.txt,
8026,1022671,STEEL DYNAMICS INC,8-K,2015-02-17,edgar/data/1022671/0001104659-15-011190.txt,
8027,1022671,STEEL DYNAMICS INC,8-K,2015-03-13,edgar/data/1022671/0001104659-15-019446.txt,
8028,1022671,STEEL DYNAMICS INC,8-K,2015-03-17,edgar/data/1022671/0001104659-15-020358.txt,
8029,1022671,STEEL DYNAMICS INC,8-K,2015-03-19,edgar/data/1022671/0001104659-15-021010.txt,
29837,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-01-14,edgar/data/108516/0001102624-15-000045.txt,
29838,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-01-16,edgar/data/108516/0001102624-15-000060.txt,
29839,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-02-23,edgar/data/108516/0001102624-15-000263.txt,
29840,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-02-24,edgar/data/108516/0001102624-15-000267.txt,
29841,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-03-02,edgar/data/108516/0001102624-15-000307.txt,
29842,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-03-12,edgar/data/108516/0001102624-15-000379.txt,
29843,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-03-24,edgar/data/108516/0001102624-15-000425.txt,
29844,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-03-26,edgar/data/108516/0001102624-15-000433.txt,
29845,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-03-31,edgar/data/108516/0001102624-15-000503.txt,
40602,11199,BEMIS CO INC,8-K,2015-01-29,edgar/data/11199/0000011199-15-000003.txt,
40603,11199,BEMIS CO INC,8-K,2015-02-11,edgar/data/11199/0001104659-15-008569.txt,
41268,1122976,POLYONE CORP,8-K,2015-01-27,edgar/data/1122976/0001628280-15-000265.txt,
49651,1163302,UNITED STATES STEEL CORP,8-K,2015-01-27,edgar/data/1163302/0001163302-15-000006.txt,
49652,1163302,UNITED STATES STEEL CORP,8-K,2015-01-28,edgar/data/1163302/0001163302-15-000008.txt,
49653,1163302,UNITED STATES STEEL CORP,8-K,2015-02-26,edgar/data/1163302/0001163302-15-000014.txt,
49654,1163302,UNITED STATES STEEL CORP,8-K,2015-03-13,edgar/data/1163302/0001163302-15-000016.txt,
71268,1227654,COMPASS MINERALS INTERNATIONAL INC,8-K,2015-02-09,edgar/data/1227654/0001140361-15-004882.txt,
84842,1282637,NEWMARKET CORP,8-K,2015-01-28,edgar/data/1282637/0001193125-15-023705.txt,
84843,1282637,NEWMARKET CORP,8-K,2015-01-29,edgar/data/1282637/0001193125-15-025813.txt,
84844,1282637,NEWMARKET CORP,8-K,2015-02-26,edgar/data/1282637/0001299933-15-000312.txt,
209317,16040,CABOT CORP,8-K,2015-01-14,edgar/data/16040/0001299933-15-000064.txt,
209318,16040,CABOT CORP,8-K,2015-01-28,edgar/data/16040/0001157523-15-000243.txt,
209319,16040,CABOT CORP,8-K,2015-03-13,edgar/data/16040/0001193125-15-091377.txt,
233551,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-01-29,edgar/data/17843/0001104659-15-005235.txt,
233552,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-01-29,edgar/data/17843/0001104659-15-005236.txt,
233553,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-03-02,edgar/data/17843/0001104659-15-015568.txt,
237043,22444,COMMERCIAL METALS CO,8-K,2015-01-06,edgar/data/22444/0000022444-15-000003.txt,
237044,22444,COMMERCIAL METALS CO,8-K,2015-01-20,edgar/data/22444/0001193125-15-014464.txt,
237045,22444,COMMERCIAL METALS CO,8-K,2015-03-26,edgar/data/22444/0000022444-15-000009.txt,
239930,310142,SENSIENT TECHNOLOGIES CORP,8-K,2015-02-06,edgar/data/310142/0001140361-15-004399.txt,
239931,310142,SENSIENT TECHNOLOGIES CORP,8-K,2015-02-09,edgar/data/310142/0001140361-15-004885.txt,
249547,43920,GREIF INC,8-K,2015-01-08,edgar/data/43920/0001193125-15-004795.txt,
249548,43920,GREIF INC,8-K,2015-01-15,edgar/data/43920/0001193125-15-011831.txt,
249549,43920,GREIF INC,8-K,2015-01-16,edgar/data/43920/0001193125-15-013258.txt,
249550,43920,GREIF INC,8-K,2015-01-27,edgar/data/43920/0001193125-15-021763.txt,
249551,43920,GREIF INC,8-K,2015-03-09,edgar/data/43920/0001193125-15-083454.txt,
253061,60519,LOUISIANA-PACIFIC CORP,8-K,2015-02-11,edgar/data/60519/0001504337-15-000004.txt,
253062,60519,LOUISIANA-PACIFIC CORP,8-K,2015-02-11,edgar/data/60519/0001504337-15-000006.txt,
253063,60519,LOUISIANA-PACIFIC CORP,8-K,2015-03-04,edgar/data/60519/0001504337-15-000012.txt,
263582,74303,OLIN CORP,8-K,2015-01-23,edgar/data/74303/0000074303-15-000006.txt,
263583,74303,OLIN CORP,8-K,2015-02-06,edgar/data/74303/0000074303-15-000009.txt,
263584,74303,OLIN CORP,8-K,2015-02-11,edgar/data/74303/0000074303-15-000011.txt,
263585,74303,OLIN CORP,8-K,2015-03-04,edgar/data/74303/0000074303-15-000018.txt,
263586,74303,OLIN CORP,8-K,2015-03-05,edgar/data/74303/0000074303-15-000020.txt,
263587,74303,OLIN CORP,8-K,2015-03-16,edgar/data/74303/0000074303-15-000023.txt,
263588,74303,OLIN CORP,8-K,2015-03-27,edgar/data/74303/0000950157-15-000337.txt,
265649,75677,PACKAGING CORP OF AMERICA,8-K,2015-01-27,edgar/data/75677/0000075677-15-000002.txt,
265650,75677,PACKAGING CORP OF AMERICA,8-K,2015-02-27,edgar/data/75677/0000075677-15-000004.txt,
284471,849869,SILGAN HOLDINGS INC,8-K,2015-02-03,edgar/data/849869/0000849869-15-000003.txt,
284472,849869,SILGAN HOLDINGS INC,8-K,2015-02-09,edgar/data/849869/0001193125-15-038269.txt,
284473,849869,SILGAN HOLDINGS INC,8-K,2015-02-27,edgar/data/849869/0000849869-15-000007.txt,
284474,849869,SILGAN HOLDINGS INC,8-K,2015-02-27,edgar/data/849869/0000849869-15-000011.txt,
284475,849869,SILGAN HOLDINGS INC,8-K,2015-03-11,edgar/data/849869/0000849869-15-000015.txt,
284476,849869,SILGAN HOLDINGS INC,8-K,2015-03-17,edgar/data/849869/0000849869-15-000017.txt,
285401,85535,ROYAL GOLD INC,8-K,2015-01-29,edgar/data/85535/0001144204-15-004432.txt,
285402,85535,ROYAL GOLD INC,8-K,2015-01-29,edgar/data/85535/0001144204-15-004665.txt,
287315,861884,RELIANCE STEEL & ALUMINUM CO,8-K,2015-01-16,edgar/data/861884/0001104659-15-002909.txt,
287316,861884,RELIANCE STEEL & ALUMINUM CO,8-K,2015-02-19,edgar/data/861884/0001144204-15-010808.txt,
287317,861884,RELIANCE STEEL & ALUMINUM CO,8-K,2015-03-02,edgar/data/861884/0001104659-15-015823.txt,
296970,891014,MINERALS TECHNOLOGIES INC,8-K,2015-01-21,edgar/data/891014/0000891014-15-000001.txt,
296971,891014,MINERALS TECHNOLOGIES INC,8-K,2015-01-29,edgar/data/891014/0000891014-15-000003.txt,
296972,891014,MINERALS TECHNOLOGIES INC,8-K,2015-03-05,edgar/data/891014/0000891014-15-000004.txt,
299201,896622,APTARGROUP INC,8-K,2015-02-05,edgar/data/896622/0001157523-15-000427.txt,
307668,91767,SONOCO PRODUCTS CO,8-K,2015-02-12,edgar/data/91767/0000091767-15-000003.txt,
307669,91767,SONOCO PRODUCTS CO,8-K,2015-02-13,edgar/data/91767/0000091767-15-000005.txt,
307670,91767,SONOCO PRODUCTS CO,8-K,2015-02-17,edgar/data/91767/0000091767-15-000007.txt,
307671,91767,SONOCO PRODUCTS CO,8-K,2015-02-19,edgar/data/91767/0000091767-15-000009.txt,
307672,91767,SONOCO PRODUCTS CO,8-K,2015-02-23,edgar/data/91767/0000091767-15-000011.txt,
308012,918646,EAGLE MATERIALS INC,8-K,2015-02-03,edgar/data/918646/0001193125-15-031604.txt,
5335,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-04-21,edgar/data/1018963/0001157523-15-001212.txt,
5336,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-05-07,edgar/data/1018963/0001193125-15-177369.txt,
5337,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-05-28,edgar/data/1018963/0001157523-15-001939.txt,
5338,1018963,ALLEGHENY TECHNOLOGIES INC,8-K,2015-06-17,edgar/data/1018963/0001193125-15-225925.txt,
6273,1022671,STEEL DYNAMICS INC,8-K,2015-04-13,edgar/data/1022671/0001104659-15-027169.txt,
6274,1022671,STEEL DYNAMICS INC,8-K,2015-04-22,edgar/data/1022671/0001104659-15-029354.txt,
6275,1022671,STEEL DYNAMICS INC,8-K,2015-05-26,edgar/data/1022671/0001104659-15-040708.txt,
6276,1022671,STEEL DYNAMICS INC,8-K,2015-05-27,edgar/data/1022671/0001104659-15-041142.txt,
6277,1022671,STEEL DYNAMICS INC,8-K,2015-06-01,edgar/data/1022671/0001104659-15-042294.txt,
6278,1022671,STEEL DYNAMICS INC,8-K,2015-06-08,edgar/data/1022671/0001104659-15-043958.txt,
6279,1022671,STEEL DYNAMICS INC,8-K,2015-06-24,edgar/data/1022671/0001104659-15-047195.txt,
23209,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-04-28,edgar/data/108516/0001102624-15-000630.txt,
23210,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-05-01,edgar/data/108516/0001102624-15-000687.txt,
23211,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-06-25,edgar/data/108516/0001102624-15-001006.txt,
23212,108516,WORTHINGTON INDUSTRIES INC,8-K,2015-06-29,edgar/data/108516/0001102624-15-001020.txt,
32115,11199,BEMIS CO INC,8-K,2015-04-23,edgar/data/11199/0000011199-15-000009.txt,
32116,11199,BEMIS CO INC,8-K,2015-05-08,edgar/data/11199/0001104659-15-036044.txt,
32117,11199,BEMIS CO INC,8-K,2015-06-29,edgar/data/11199/0001104659-15-048501.txt,
32769,1122976,POLYONE CORP,8-K,2015-04-30,edgar/data/1122976/0001122976-15-000005.txt,
32770,1122976,POLYONE CORP,8-K,2015-05-15,edgar/data/1122976/0001193125-15-189220.txt,
32771,1122976,POLYONE CORP,8-K,2015-06-18,edgar/data/1122976/0001193125-15-226746.txt,
39850,1163302,UNITED STATES STEEL CORP,8-K,2015-04-15,edgar/data/1163302/0001163302-15-000018.txt,
39851,1163302,UNITED STATES STEEL CORP,8-K,2015-04-28,edgar/data/1163302/0001163302-15-000022.txt,
39852,1163302,UNITED STATES STEEL CORP,8-K,2015-04-29,edgar/data/1163302/0001163302-15-000024.txt,
39853,1163302,UNITED STATES STEEL CORP,8-K,2015-05-01,edgar/data/1163302/0001163302-15-000029.txt,
39854,1163302,UNITED STATES STEEL CORP,8-K,2015-06-01,edgar/data/1163302/0001163302-15-000033.txt,
57457,1227654,COMPASS MINERALS INTERNATIONAL INC,8-K,2015-04-10,edgar/data/1227654/0001140361-15-015066.txt,
57458,1227654,COMPASS MINERALS INTERNATIONAL INC,8-K,2015-04-27,edgar/data/1227654/0001140361-15-016472.txt,
57459,1227654,COMPASS MINERALS INTERNATIONAL INC,8-K,2015-05-11,edgar/data/1227654/0001140361-15-018718.txt,
57460,1227654,COMPASS MINERALS INTERNATIONAL INC,8-K,2015-06-15,edgar/data/1227654/0001140361-15-024312.txt,
68409,1282637,NEWMARKET CORP,8-K,2015-04-23,edgar/data/1282637/0001193125-15-144404.txt,
68410,1282637,NEWMARKET CORP,8-K,2015-04-27,edgar/data/1282637/0001193125-15-149764.txt,
167798,16040,CABOT CORP,8-K,2015-04-29,edgar/data/16040/0001157523-15-001431.txt,
194480,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-04-06,edgar/data/17843/0001104659-15-025868.txt,
194481,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-05-01,edgar/data/17843/0001104659-15-033098.txt,
194482,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-05-01,edgar/data/17843/0001104659-15-033101.txt,
194483,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-06-03,edgar/data/17843/0001104659-15-043202.txt,
194484,17843,CARPENTER TECHNOLOGY CORP,8-K,2015-06-22,edgar/data/17843/0001104659-15-046727.txt,
197136,22444,COMMERCIAL METALS CO,8-K,2015-06-25,edgar/data/22444/0000022444-15-000014.txt,
