,Ticker,Name,Market Cap,GICS Sector,Weight
2,ACC,AMERICAN CAMPUS COMMUNITIES INC,6496666112,Real Estate,0.03633825003523733
4,HPT,HOSPITALITY PROPERTIES TRUST,5251686400,Real Estate,0.029374619261617888
5,MPW,MEDICAL PROPERTIES TRUST INC,4246810624,Real Estate,0.023753978370870333
6,SNH,SENIOR HOUSING PROPERTIES TRUST,4627396608,Real Estate,0.025882736168805143
43,LAMR,LAMAR ADVERTISING CO,7530799104,Real Estate,0.04212253732738747
56,HR,HEALTHCARE REALTY TRUST INC,3492579072,Real Estate,0.019535283081848667
104,PCH,POTLATCH CORP,1784841344,Real Estate,0.0099832760239443
120,WRI,WEINGARTEN REALTY INVESTORS,4607787520,Real Estate,0.02577305530627924
168,CSAL,COMMUNICATIONS SALES & LEASING INC,4129979904,Real Estate,0.023100501057742747
188,NNN,NATIONAL RETAIL PROPERTIES INC,6523997696,Real Estate,0.03649112566654253
194,CUZ,COUSINS PROPERTIES INC,3379164160,Real Estate,0.01890091164287815
205,QCP,QUALITY CARE PROPERTIES INC,1708094720,Real Estate,0.009554003845846511
207,OFC,CORPORATE OFFICE PROPERTIES TRUST,3118607360,Real Estate,0.017443521347062785
221,JLL,JONES LANG LASALLE INC,5151212032,Real Estate,0.028812629058708652
248,SKT,TANGER FACTORY OUTLET CENTERS INC,3291332864,Real Estate,0.018409638805403607
249,CPT,CAMDEN PROPERTY TRUST,7122883584,Real Estate,0.039840915353366924
252,OHI,OMEGA HEALTHCARE INVESTORS INC,6104063488,Real Estate,0.03414227873712019
254,TCO,TAUBMAN CENTERS INC,4135266816,Real Estate,0.023130072706779078
279,WPG,WASHINGTON PRIME GROUP INC,1780100864,Real Estate,0.009956760770650176
285,HIW,HIGHWOODS PROPERTIES INC,5086377472,Real Estate,0.028449985448649504
286,DEI,DOUGLAS EMMETT INC,5941372928,Real Estate,0.03323229042223159
290,CLI,MACK-CALI REALTY CORP,2480783104,Real Estate,0.013875935004545323
292,CCP,CARE CAPITAL PROPERTIES INC,2078858368,Real Estate,0.01162782169529931
299,LSI,LIFE STORAGE INC,3804508928,Real Estate,0.021280021830211725
301,DCT,DCT INDUSTRIAL TRUST INC,4243688704,Real Estate,0.023736516320705794
311,ALEX,ALEXANDER & BALDWIN INC,2203927808,Real Estate,0.012327381208461361
312,DRE,DUKE REALTY CORP,8906353664,Real Estate,0.04981652139193145
321,KRC,KILROY REALTY CORP,7295202816,Real Estate,0.04080476038254734
328,CXW,CORECIVIC INC,3829909504,Real Estate,0.02142209662146845
333,EPR,EPR PROPERTIES,4773455360,Real Estate,0.026699696646458014
335,EQY,EQUITY ONE INC,4561875456,Real Estate,0.02551625219642199
343,ARE,ALEXANDRIA REAL ESTATE EQUITIES INC,10218926080,Real Estate,0.05715822309241797
345,LHO,LASALLE HOTEL PROPERTIES,3479700736,Real Estate,0.019463249798078487
355,REG,REGENCY CENTERS CORP,7338696704,Real Estate,0.04104803774202704
358,UE,URBAN EDGE PROPERTIES,2792828160,Real Estate,0.015621318109003014
362,RYN,RAYONIER INC,3487263488,Real Estate,0.019505551059739893
363,LPT,LIBERTY PROPERTY TRUST,5704799232,Real Estate,0.03190904647390411
384,EDR,EDUCATION REALTY TRUST INC,2997555456,Real Estate,0.016766433394725434
385,FR,FIRST INDUSTRIAL REALTY TRUST INC,3073776640,Real Estate,0.017192766593080486
