,CIK,Company Name,Form Type,Date Filed,Filename,Text
9131,1025996,KILROY REALTY CORP,8-K,2015-01-29,edgar/data/1025996/0001025996-15-000057.txt,
9132,1025996,KILROY REALTY CORP,8-K,2015-02-11,edgar/data/1025996/0001025996-15-000078.txt,
13596,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-02-02,edgar/data/1035443/0001035443-15-000012.txt,
14391,1037976,JONES LANG LASALLE INC,8-K,2015-02-03,edgar/data/1037976/0001037976-15-000004.txt,
14392,1037976,JONES LANG LASALLE INC,8-K,2015-02-26,edgar/data/1037976/0001037976-15-000013.txt,
14393,1037976,JONES LANG LASALLE INC,8-K,2015-02-27,edgar/data/1037976/0001037976-15-000019.txt,
16689,1045450,EPR PROPERTIES,8-K,2015-02-24,edgar/data/1045450/0001045450-15-000015.txt,
16690,1045450,EPR PROPERTIES,8-K,2015-02-24,edgar/data/1045450/0001045450-15-000016.txt,
16691,1045450,EPR PROPERTIES,8-K,2015-03-09,edgar/data/1045450/0001193125-15-082247.txt,
16692,1045450,EPR PROPERTIES,8-K,2015-03-09,edgar/data/1045450/0001193125-15-083288.txt,
16693,1045450,EPR PROPERTIES,8-K,2015-03-11,edgar/data/1045450/0001193125-15-087387.txt,
16694,1045450,EPR PROPERTIES,8-K,2015-03-16,edgar/data/1045450/0001193125-15-093655.txt,
16695,1045450,EPR PROPERTIES,8-K,2015-03-18,edgar/data/1045450/0001045450-15-000026.txt,
27402,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-01-29,edgar/data/1075415/0001104659-15-005429.txt,
27403,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-02-03,edgar/data/1075415/0001104659-15-006275.txt,
27404,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-02-05,edgar/data/1075415/0001104659-15-006747.txt,
27405,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-02-26,edgar/data/1075415/0001104659-15-014104.txt,
85183,1283630,AMERICAN CAMPUS COMMUNITIES INC,8-K,2015-02-17,edgar/data/1283630/0001157523-15-000579.txt,
86362,1287865,MEDICAL PROPERTIES TRUST INC,8-K,2015-01-07,edgar/data/1287865/0001193125-15-004112.txt,
86363,1287865,MEDICAL PROPERTIES TRUST INC,8-K,2015-01-14,edgar/data/1287865/0001193125-15-010766.txt,
86364,1287865,MEDICAL PROPERTIES TRUST INC,8-K,2015-02-12,edgar/data/1287865/0001193125-15-045698.txt,
101764,1338749,POTLATCH CORP,8-K,2015-01-28,edgar/data/1338749/0001338749-15-000003.txt,
101765,1338749,POTLATCH CORP,8-K,2015-02-18,edgar/data/1338749/0001338749-15-000011.txt,
101766,1338749,POTLATCH CORP,8-K,2015-02-18,edgar/data/1338749/0001338749-15-000013.txt,
101767,1338749,POTLATCH CORP,8-K,2015-03-10,edgar/data/1338749/0001338749-15-000016.txt,
237856,25232,COUSINS PROPERTIES INC,8-K,2015-02-12,edgar/data/25232/0000025232-15-000005.txt,
251693,52827,RAYONIER INC,8-K,2015-02-12,edgar/data/52827/0000052827-15-000002.txt,
251694,52827,RAYONIER INC,8-K,2015-03-02,edgar/data/52827/0000052827-15-000004.txt,
251695,52827,RAYONIER INC,8-K,2015-03-30,edgar/data/52827/0000052827-15-000010.txt,
269444,783280,DUKE REALTY CORP,8-K,2015-01-05,edgar/data/783280/0000783280-15-000002.txt,
269445,783280,DUKE REALTY CORP,8-K,2015-01-29,edgar/data/783280/0001193125-15-024873.txt,
269446,783280,DUKE REALTY CORP,8-K,2015-02-03,edgar/data/783280/0000783280-15-000014.txt,
269447,783280,DUKE REALTY CORP,8-K,2015-03-02,edgar/data/783280/0000783280-15-000022.txt,
286845,860546,CORPORATE OFFICE PROPERTIES TRUST,8-K,2015-01-20,edgar/data/860546/0000860546-15-000002.txt,
286846,860546,CORPORATE OFFICE PROPERTIES TRUST,8-K,2015-02-10,edgar/data/860546/0000860546-15-000005.txt,
286847,860546,CORPORATE OFFICE PROPERTIES TRUST,8-K,2015-03-26,edgar/data/860546/0001104659-15-023140.txt,
286848,860546,CORPORATE OFFICE PROPERTIES TRUST,8-K,2015-03-27,edgar/data/860546/0000860546-15-000011.txt,
295813,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-02-03,edgar/data/888491/0001571049-15-000736.txt,
295814,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-02-09,edgar/data/888491/0001571049-15-000889.txt,
295815,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-02-11,edgar/data/888491/0000888491-15-000005.txt,
295816,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-02-23,edgar/data/888491/0000888491-15-000010.txt,
295817,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-03-11,edgar/data/888491/0001571049-15-001824.txt,
295818,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-03-11,edgar/data/888491/0001571049-15-001847.txt,
295819,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-03-13,edgar/data/888491/0001571049-15-001938.txt,
295820,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-03-24,edgar/data/888491/0001571049-15-002257.txt,
295821,888491,OMEGA HEALTHCARE INVESTORS INC,8-K,2015-03-27,edgar/data/888491/0001571049-15-002401.txt,
296485,890319,TAUBMAN CENTERS INC,8-K,2015-02-12,edgar/data/890319/0000890319-15-000031.txt,
296486,890319,TAUBMAN CENTERS INC,8-K,2015-03-10,edgar/data/890319/0000890319-15-000053.txt,
300253,899715,TANGER FACTORY OUTLET CENTERS INC,8-K,2015-02-10,edgar/data/899715/0000899715-15-000019.txt,
300335,899749,HEALTHCARE REALTY TRUST INC,8-K,2015-02-03,edgar/data/899749/0000899749-15-000002.txt,
300336,899749,HEALTHCARE REALTY TRUST INC,8-K,2015-02-17,edgar/data/899749/0000899749-15-000008.txt,
302620,906345,CAMDEN PROPERTY TRUST,8-K,2015-01-29,edgar/data/906345/0000906345-15-000002.txt,
303937,910606,REGENCY CENTERS CORP,8-K,2015-01-14,edgar/data/910606/0001193125-15-010630.txt,
303938,910606,REGENCY CENTERS CORP,8-K,2015-01-14,edgar/data/910606/0001193125-15-010682.txt,
303939,910606,REGENCY CENTERS CORP,8-K,2015-01-14,edgar/data/910606/0001193125-15-010691.txt,
303940,910606,REGENCY CENTERS CORP,8-K,2015-01-16,edgar/data/910606/0001193125-15-013250.txt,
303941,910606,REGENCY CENTERS CORP,8-K,2015-02-11,edgar/data/910606/0000910606-15-000002.txt,
308917,921082,HIGHWOODS PROPERTIES INC,8-K,2015-01-28,edgar/data/921082/0000921082-15-000002.txt,
308945,921112,LIBERTY PROPERTY TRUST,8-K,2015-02-03,edgar/data/921112/0001104659-15-006126.txt,
308946,921112,LIBERTY PROPERTY TRUST,8-K,2015-03-20,edgar/data/921112/0001104659-15-021388.txt,
308947,921112,LIBERTY PROPERTY TRUST,8-K,2015-03-23,edgar/data/921112/0001104659-15-021755.txt,
309318,921825,FIRST INDUSTRIAL REALTY TRUST INC,8-K,2015-01-06,edgar/data/921825/0000921825-15-000005.txt,
309319,921825,FIRST INDUSTRIAL REALTY TRUST INC,8-K,2015-02-20,edgar/data/921825/0001193125-15-055333.txt,
309320,921825,FIRST INDUSTRIAL REALTY TRUST INC,8-K,2015-03-12,edgar/data/921825/0001193125-15-089192.txt,
316217,945394,HOSPITALITY PROPERTIES TRUST,8-K,2015-02-27,edgar/data/945394/0001104659-15-014756.txt,
7196,1025996,KILROY REALTY CORP,8-K,2015-04-29,edgar/data/1025996/0001025996-15-000120.txt,
7197,1025996,KILROY REALTY CORP,8-K,2015-05-21,edgar/data/1025996/0001025996-15-000126.txt,
7198,1025996,KILROY REALTY CORP,8-K,2015-06-30,edgar/data/1025996/0001193125-15-240273.txt,
9530,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-04-02,edgar/data/1035443/0001035443-15-000030.txt,
9531,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-04-07,edgar/data/1035443/0001035443-15-000037.txt,
9532,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-04-07,edgar/data/1035443/0001035443-15-000038.txt,
9533,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-04-27,edgar/data/1035443/0001035443-15-000049.txt,
9534,1035443,ALEXANDRIA REAL ESTATE EQUITIES INC,8-K,2015-05-11,edgar/data/1035443/0001035443-15-000056.txt,
10296,1037976,JONES LANG LASALLE INC,8-K,2015-04-17,edgar/data/1037976/0001104659-15-028400.txt,
10297,1037976,JONES LANG LASALLE INC,8-K,2015-04-27,edgar/data/1037976/0001037976-15-000025.txt,
10298,1037976,JONES LANG LASALLE INC,8-K,2015-05-11,edgar/data/1037976/0001037976-15-000035.txt,
10299,1037976,JONES LANG LASALLE INC,8-K,2015-06-02,edgar/data/1037976/0001037976-15-000041.txt,
12404,1045450,EPR PROPERTIES,8-K,2015-04-27,edgar/data/1045450/0001193125-15-149781.txt,
12405,1045450,EPR PROPERTIES,8-K,2015-04-28,edgar/data/1045450/0001045450-15-000042.txt,
12406,1045450,EPR PROPERTIES,8-K,2015-05-18,edgar/data/1045450/0001045450-15-000054.txt,
20676,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-05-06,edgar/data/1075415/0001104659-15-034597.txt,
20677,1075415,SENIOR HOUSING PROPERTIES TRUST,8-K,2015-05-26,edgar/data/1075415/0001104659-15-040723.txt,
