,Ticker,Name,Market Cap,GICS Sector,Weight
11,NWE,NORTHWESTERN CORP,2728578560,Utilities,0.031128371645814504
37,WTR,AQUA AMERICA INC,5292370432,Utilities,0.06037681161528142
60,ATO,ATMOS ENERGY CORP,7913402880,Utilities,0.09027826775553746
62,BKH,BLACK HILLS CORP,3264869632,Utilities,0.03724652710018715
83,HE,HAWAIIAN ELECTRIC INDUSTRIES INC,3592160512,Utilities,0.04098035111327537
87,IDA,IDACORP INC,4009460736,Utilities,0.045741026378770984
91,GXP,GREAT PLAINS ENERGY INC,6032566272,Utilities,0.06882116851816857
96,NFG,NATIONAL FUEL GAS CO,5094253056,Utilities,0.05811663432003009
97,NJR,NEW JERSEY RESOURCES CORP,3241061120,Utilities,0.03697491307347947
98,OGE,OGE ENERGY CORP,6851808768,Utilities,0.07816731132577484
109,SWX,SOUTHWEST GAS HOLDINGS INC,3933889280,Utilities,0.04487888650760549
116,UGI,UGI CORP,8179640832,Utilities,0.09331558324191162
119,WGL,WGL HOLDINGS INC,4248615936,Utilities,0.04846937441161234
187,WR,WESTAR ENERGY INC,7514658816,Utilities,0.08572928624636865
209,OGS,ONE GAS INC,3339517696,Utilities,0.038098132662473964
250,PNM,PNM RESOURCES INC,2779911680,Utilities,0.0317139939403396
315,MDU,MDU RESOURCES GROUP INC,5099397632,Utilities,0.058175325052280125
364,VVC,VECTREN CORP,4539515392,Utilities,0.05178803509108835
