,CIK,Company Name,Form Type,Date Filed,Filename,Text
22190,1057877,IDACORP INC,8-K,2015-02-11,edgar/data/1057877/0001057877-15-000032.txt,
22191,1057877,IDACORP INC,8-K,2015-02-19,edgar/data/1057877/0001057877-15-000044.txt,
33650,1096385,VECTREN CORP,8-K,2015-01-02,edgar/data/1096385/0001096385-15-000002.txt,
33651,1096385,VECTREN CORP,8-K,2015-01-29,edgar/data/1096385/0001096385-15-000004.txt,
33652,1096385,VECTREN CORP,8-K,2015-02-09,edgar/data/1096385/0001096385-15-000006.txt,
33653,1096385,VECTREN CORP,8-K,2015-02-17,edgar/data/1096385/0001096385-15-000011.txt,
33654,1096385,VECTREN CORP,8-K,2015-03-03,edgar/data/1096385/0001096385-15-000014.txt,
33655,1096385,VECTREN CORP,8-K,2015-03-10,edgar/data/1096385/0001096385-15-000018.txt,
33656,1096385,VECTREN CORP,8-K,2015-03-13,edgar/data/1096385/0001096385-15-000021.txt,
33657,1096385,VECTREN CORP,8-K,2015-03-24,edgar/data/1096385/0001096385-15-000030.txt,
33658,1096385,VECTREN CORP,8-K,2015-03-24,edgar/data/1096385/0001096385-15-000031.txt,
35571,1103601,WGL HOLDINGS INC,8-K,2015-02-05,edgar/data/1103601/0001193125-15-033905.txt,
35572,1103601,WGL HOLDINGS INC,8-K,2015-03-06,edgar/data/1103601/0001193125-15-081195.txt,
35573,1103601,WGL HOLDINGS INC,8-K,2015-03-12,edgar/data/1103601/0001193125-15-089382.txt,
35574,1103601,WGL HOLDINGS INC,8-K,2015-03-18,edgar/data/1103601/0001193125-15-096195.txt,
36946,1108426,PNM RESOURCES INC,8-K,2015-02-27,edgar/data/1108426/0001108426-15-000005.txt,
36947,1108426,PNM RESOURCES INC,8-K,2015-03-04,edgar/data/1108426/0001108426-15-000010.txt,
36948,1108426,PNM RESOURCES INC,8-K,2015-03-09,edgar/data/1108426/0001108426-15-000026.txt,
46566,1143068,GREAT PLAINS ENERGY INC,8-K,2015-01-02,edgar/data/1143068/0001143068-15-000003.txt,
46567,1143068,GREAT PLAINS ENERGY INC,8-K,2015-02-17,edgar/data/1143068/0001143068-15-000007.txt,
46568,1143068,GREAT PLAINS ENERGY INC,8-K,2015-02-25,edgar/data/1143068/0001143068-15-000016.txt,
46569,1143068,GREAT PLAINS ENERGY INC,8-K,2015-03-18,edgar/data/1143068/0001143068-15-000020.txt,
46570,1143068,GREAT PLAINS ENERGY INC,8-K,2015-03-30,edgar/data/1143068/0001143068-15-000032.txt,
246357,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-01-30,edgar/data/354707/0000354707-15-000003.txt,
246358,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-01-30,edgar/data/354707/0000354707-15-000006.txt,
246359,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-02-12,edgar/data/354707/0000354707-15-000013.txt,
246360,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-03-02,edgar/data/354707/0000354707-15-000018.txt,
246361,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-03-23,edgar/data/354707/0000354707-15-000021.txt,
247004,356309,NEW JERSEY RESOURCES CORP,8-K,2015-01-21,edgar/data/356309/0000930413-15-000181.txt,
247005,356309,NEW JERSEY RESOURCES CORP,8-K,2015-01-22,edgar/data/356309/0000356309-15-000024.txt,
247006,356309,NEW JERSEY RESOURCES CORP,8-K,2015-02-04,edgar/data/356309/0000930413-15-000363.txt,
247007,356309,NEW JERSEY RESOURCES CORP,8-K,2015-02-17,edgar/data/356309/0000356309-15-000040.txt,
247008,356309,NEW JERSEY RESOURCES CORP,8-K,2015-03-03,edgar/data/356309/0000356309-15-000044.txt,
247009,356309,NEW JERSEY RESOURCES CORP,8-K,2015-03-10,edgar/data/356309/0000356309-15-000046.txt,
254506,67716,MDU RESOURCES GROUP INC,8-K,2015-01-08,edgar/data/67716/0000067716-15-000002.txt,
254507,67716,MDU RESOURCES GROUP INC,8-K,2015-01-09,edgar/data/67716/0000067716-15-000006.txt,
254508,67716,MDU RESOURCES GROUP INC,8-K,2015-01-23,edgar/data/67716/0000067716-15-000008.txt,
254509,67716,MDU RESOURCES GROUP INC,8-K,2015-02-03,edgar/data/67716/0000067716-15-000011.txt,
254510,67716,MDU RESOURCES GROUP INC,8-K,2015-02-18,edgar/data/67716/0000067716-15-000021.txt,
255359,70145,NATIONAL FUEL GAS CO,8-K,2015-01-30,edgar/data/70145/0000070145-15-000010.txt,
255360,70145,NATIONAL FUEL GAS CO,8-K,2015-01-30,edgar/data/70145/0001193125-15-026693.txt,
255361,70145,NATIONAL FUEL GAS CO,8-K,2015-02-27,edgar/data/70145/0001193125-15-070201.txt,
255362,70145,NATIONAL FUEL GAS CO,8-K,2015-03-16,edgar/data/70145/0001193125-15-093523.txt,
255363,70145,NATIONAL FUEL GAS CO,8-K,2015-03-23,edgar/data/70145/0001193125-15-101000.txt,
261704,73088,NORTHWESTERN CORP,8-K,2015-02-12,edgar/data/73088/0000073088-15-000030.txt,
261705,73088,NORTHWESTERN CORP,8-K,2015-02-18,edgar/data/73088/0000073088-15-000034.txt,
261706,73088,NORTHWESTERN CORP,8-K,2015-03-17,edgar/data/73088/0000073088-15-000072.txt,
261912,731802,ATMOS ENERGY CORP,8-K,2015-02-03,edgar/data/731802/0000731802-15-000005.txt,
261913,731802,ATMOS ENERGY CORP,8-K,2015-02-06,edgar/data/731802/0000731802-15-000008.txt,
269340,78128,AQUA AMERICA INC,8-K,2015-02-27,edgar/data/78128/0001193125-15-067565.txt,
16876,1057877,IDACORP INC,8-K,2015-04-30,edgar/data/1057877/0001057877-15-000118.txt,
16877,1057877,IDACORP INC,8-K,2015-05-26,edgar/data/1057877/0001057877-15-000124.txt,
16878,1057877,IDACORP INC,8-K,2015-06-18,edgar/data/1057877/0001057877-15-000130.txt,
26083,1096385,VECTREN CORP,8-K,2015-05-07,edgar/data/1096385/0001096385-15-000040.txt,
26084,1096385,VECTREN CORP,8-K,2015-05-12,edgar/data/1096385/0001096385-15-000046.txt,
26085,1096385,VECTREN CORP,8-K,2015-05-13,edgar/data/1096385/0001096385-15-000048.txt,
26086,1096385,VECTREN CORP,8-K,2015-05-15,edgar/data/1096385/0001096385-15-000054.txt,
26087,1096385,VECTREN CORP,8-K,2015-06-12,edgar/data/1096385/0001096385-15-000060.txt,
27688,1103601,WGL HOLDINGS INC,8-K,2015-05-07,edgar/data/1103601/0001628280-15-003833.txt,
27689,1103601,WGL HOLDINGS INC,8-K,2015-05-15,edgar/data/1103601/0001628280-15-004276.txt,
28796,1108426,PNM RESOURCES INC,8-K,2015-04-09,edgar/data/1108426/0001108426-15-000039.txt,
28797,1108426,PNM RESOURCES INC,8-K,2015-04-20,edgar/data/1108426/0001108426-15-000041.txt,
28798,1108426,PNM RESOURCES INC,8-K,2015-05-01,edgar/data/1108426/0001108426-15-000043.txt,
28799,1108426,PNM RESOURCES INC,8-K,2015-05-13,edgar/data/1108426/0001108426-15-000068.txt,
28800,1108426,PNM RESOURCES INC,8-K,2015-05-14,edgar/data/1108426/0001108426-15-000070.txt,
28801,1108426,PNM RESOURCES INC,8-K,2015-05-15,edgar/data/1108426/0001108426-15-000072.txt,
28802,1108426,PNM RESOURCES INC,8-K,2015-05-28,edgar/data/1108426/0001108426-15-000087.txt,
28803,1108426,PNM RESOURCES INC,8-K,2015-06-25,edgar/data/1108426/0001108426-15-000091.txt,
37036,1143068,GREAT PLAINS ENERGY INC,8-K,2015-05-07,edgar/data/1143068/0001143068-15-000039.txt,
37037,1143068,GREAT PLAINS ENERGY INC,8-K,2015-06-01,edgar/data/1143068/0001143068-15-000042.txt,
37038,1143068,GREAT PLAINS ENERGY INC,8-K,2015-06-18,edgar/data/1143068/0001143068-15-000045.txt,
203720,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-04-16,edgar/data/354707/0000354707-15-000023.txt,
203721,354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,2015-04-30,edgar/data/354707/0000354707-15-000025.txt,
