Vol,mu
0.021039695,-0.00176691
0.013676577,0.002701397
0.013013326,0.001780665
0.026353648,-0.000547684
0.025631429,-0.002901893
0.026252457,-0.000346025
0.025426325,-0.00244151
0.047983008,0.001905576
0.053640698,0.002171
0.019510007,0.00233189
0.019510007,0.00233189
0.02688833,0.003865439
0.022329271,0.004749218
0.02367365,-0.002024805
0.022189198,-0.001682831
0.022189198,-0.001682831
0.023963187,-0.001858255
0.020472782,-1.28E-05
0.019272339,0.000176998
0.016605124,0.001893488
0.015523461,0.001727827
0.015895689,0.002156297
0.015523461,0.001727827
0.016259025,0.002125594
0.023113419,0.002956263
0.022848377,0.003490137
0.022519094,0.002862058
0.020843704,-0.000215857
0.020843704,-0.000215857
0.020539664,-0.000213408
0.016498648,0.000296298
0.01826075,0.000665958
0.017468775,0.000381261
0.029683075,0.00235535
0.020438146,0.001212162
0.019219717,0.000748233
0.020514826,0.000697871
0.023996838,1.69E-05
0.026344089,-0.000259087
0.025224143,0.00037574
0.026414163,0.000392563
0.032919029,0.000121795
0.032269551,0.000547651
0.032722145,0.000488946
"Error : Exiting
","Error : Exiting
"
0.019227186,-0.000275956
0.019540369,-0.000794652
0.016570718,0.000658237
0.016682085,0.000469064
0.035560912,-0.003167106
0.03421581,-0.002792676
0.026941544,-0.002375874
0.042317887,0.00094114
0.042317887,0.00094114
0.043279206,0.000867031
0.047732542,0.003859208
0.021099753,-0.002739577
0.021099753,-0.002739577
0.014665372,-0.001740606
0.016673996,-0.00197968
0.016357043,-0.001709399
0.023078075,0.00036526
0.023610758,0.000555599
0.023016763,0.001017585
0.023690851,0.001866713
0.026003062,0.003321412
0.02017351,0.001011093
0.02017351,0.001011093
0.019310883,0.000290488
0.016671425,0.001809304
0.019693868,2.63E-05
0.017739634,0.001938908
0.016766468,0.002587834
0.016766468,0.002587834
0.030178568,-0.002837975
0.031882956,-0.003663169
0.031882956,-0.003663169
0.032891583,-0.003736171
0.031882956,-0.003663169
0.027424714,-0.001099273
0.02598384,-0.001908894
0.021841398,-0.002435877
0.019531456,-0.001213293
0.023569992,-0.000517526
0.030510525,-0.002124783
0.028640199,-0.00217768
0.014233646,-0.000280163
0.019180643,-0.000563907
0.017785981,-0.001636098
0.014233646,-0.000280163
0.036797387,0.000750553
0.030284126,0.001659283
0.05077239,-0.005522831
0.028497588,-0.0016042
0.028840825,0.001013972
0.028840825,0.001013972
0.026123993,0.000282295
0.028840825,0.001013972
0.025848993,0.001248897
0.025848993,0.001248897
0.01485543,0.001358559
0.014853608,0.000864792
0.045216332,0.000246414
0.032679407,-0.002340134
0.028501494,-0.001037496
0.01447488,0.002420192
0.01447488,0.002420192
0.01447488,0.002420192
0.014917626,0.00284205
0.013717365,0.002217059
0.013744409,0.001342336
0.013351319,0.002221885
0.01346341,0.002781903
0.034632749,0.001472956
0.032064645,0.000128445
0.033427393,-0.000400249
0.018971111,-0.001639619
0.021040508,-0.000787689
0.016517675,0.002871979
0.056089675,-0.014109717
0.061611606,-0.014443324
0.064178411,-0.013389871
0.057429636,-0.013049704
0.017208607,0.001929365
0.018466535,0.001654531
0.02288106,-0.001480266
0.018009228,-0.001134381
0.018009228,-0.001134381
0.013676577,0.002701397
0.012282919,0.002259411
0.014522954,0.00233324
0.026353648,-0.000547684
0.025009865,-0.00257814
0.025808643,-0.001934481
0.025601027,0.002566885
0.027006608,0.003191282
0.0322788,0.006649794
0.031879513,0.006967558
0.031811619,0.005797274
0.025786967,0.005955351
0.022618348,0.004859158
0.025786967,0.005955351
0.025786967,0.005955351
0.021642717,-0.002354081
0.022189198,-0.001682831
0.023434562,-0.000901275
0.02172556,-0.001028361
0.020177568,0.000325907
0.021642717,-0.002354081
0.022189198,-0.001682831
0.023350545,-0.001717177
0.018292857,0.000669758
0.019891552,-9.73E-05
0.016044517,0.001737866
0.016067451,0.002104538
0.015523461,0.001727827
0.021466109,0.00246562
0.023113419,0.002956263
0.024859148,0.001822393
0.023359564,0.004462204
0.023359564,0.004462204
0.022796147,0.003940842
0.025010213,0.001962369
0.020843704,-0.000215857
0.020139161,-0.001626445
0.020316064,-0.000857082
0.021369909,-0.000984789
0.020843704,-0.000215857
0.016503893,0.000902799
0.016498648,0.000296298
0.01826075,0.000665958
0.018141896,0.001094098
0.019488692,0.001746597
0.027303831,0.001876706
0.02173198,0.001663427
0.020703037,0.001096558
0.019390647,0.00083904
0.01856374,0.000819593
0.033123074,0.000161059
0.023129126,-0.000753716
0.02211098,-0.001311623
0.023996838,1.69E-05
0.022252405,-0.00064381
0.032810232,-0.00036347
0.070023033,-0.002285761
0.131106146,0.004922824
0.071640261,-0.002285642
0.066242787,0.003176049
0.070023033,-0.002285761
0.018208496,-0.001258166
0.019540369,-0.000794652
0.019227186,-0.000275956
0.028311569,-0.002314183
0.029316326,-0.0020876
0.029933638,-0.002640451
