,CIK,Company Name,Form Type,Date Filed,Filename,Text
3732,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8-K,2015-01-07,edgar/data/1009626/0001009626-15-000002.txt,
3733,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8-K,2015-01-07,edgar/data/1009626/0001193125-15-004052.txt,
3734,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8-K,2015-01-14,edgar/data/1009626/0001193125-15-010610.txt,
3735,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8-K,2015-01-30,edgar/data/1009626/0001009626-15-000010.txt,
3736,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,8-K,2015-02-19,edgar/data/1009626/0001009626-15-000013.txt,
4884,1013462,ANSYS INC,8-K,2015-02-26,edgar/data/1013462/0001171843-15-001041.txt,
12698,1032220,MAXIMUS INC,8-K,2015-02-09,edgar/data/1032220/0001157523-15-000475.txt,
12699,1032220,MAXIMUS INC,8-K,2015-03-09,edgar/data/1032220/0001104659-15-018140.txt,
12700,1032220,MAXIMUS INC,8-K,2015-03-12,edgar/data/1032220/0001157523-15-000914.txt,
14012,103730,VISHAY INTERTECHNOLOGY INC,8-K,2015-02-05,edgar/data/103730/0000103730-15-000002.txt,
14013,103730,VISHAY INTERTECHNOLOGY INC,8-K,2015-02-20,edgar/data/103730/0000103730-15-000009.txt,
14014,103730,VISHAY INTERTECHNOLOGY INC,8-K,2015-03-04,edgar/data/103730/0000103730-15-000011.txt,
14015,103730,VISHAY INTERTECHNOLOGY INC,8-K,2015-03-13,edgar/data/103730/0000103730-15-000013.txt,
14428,1038074,SILICON LABORATORIES INC,8-K,2015-01-08,edgar/data/1038074/0001104659-15-001143.txt,
14429,1038074,SILICON LABORATORIES INC,8-K,2015-01-30,edgar/data/1038074/0001104659-15-005593.txt,
14430,1038074,SILICON LABORATORIES INC,8-K,2015-02-04,edgar/data/1038074/0001104659-15-006485.txt,
14431,1038074,SILICON LABORATORIES INC,8-K,2015-02-04,edgar/data/1038074/0001104659-15-006535.txt,
21493,1056696,MANHATTAN ASSOCIATES INC,8-K,2015-02-03,edgar/data/1056696/0001193125-15-031447.txt,
23566,1062047,CONVERGYS CORP,8-K,2015-01-28,edgar/data/1062047/0001193125-15-023701.txt,
23567,1062047,CONVERGYS CORP,8-K,2015-02-18,edgar/data/1062047/0001193125-15-052770.txt,
23568,1062047,CONVERGYS CORP,8-K,2015-03-16,edgar/data/1062047/0001193125-15-093721.txt,
28020,1078075,NETSCOUT SYSTEMS INC,8-K,2015-01-22,edgar/data/1078075/0001157523-15-000172.txt,
37908,1111928,IPG PHOTONICS CORP,8-K,2015-02-09,edgar/data/1111928/0001111928-15-000010.txt,
