,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
11,-0.018309720389135517,-0.1964255142718059,0.02484138012964947,0.007523158555971252,0.006545617573242866,-0.022567669867911044,5.618306901796623e-07,0.00029487711289637316,-4.434291608185121e-05,-0.035790723355060755,0.001948535162078261,0.008197338875894,-0.00561674222252727,-0.0015339084955268872,-0.0013947977309308054,0.0021982721621391747,-4.472286068237832e-07,8.131443165688899e-05,-0.026170796177186983,-0.02648125672934728,0.027687813190192208,-0.00010867376342178498,-0.0011527701169533379,0.0,0.0029861493947829425,3.0278594839645945e-08,0.005696340806601956,0.0,0.00016058269710159004,-0.0007223887460489964,1018003,INGRAM MICRO INC,2015-02-26
58,-0.041377880394118244,-0.0005314375577839891,0.09458435575238588,-1.272692039977905e-05,0.05762971396859419,3.859675660433843e-05,-2.6608644548487242e-05,0.0026060866374771757,0.0021001075820334184,-0.0010406274886471847,0.020986242514619672,0.06330146397552058,-0.02097333807415964,-0.0030240040354922526,0.015753023290588242,0.005931163438474552,-9.643435895890794e-06,5.95912682903045e-05,-0.028502962502096753,-0.02453999732965693,0.0011686909061926411,-0.0009489826898230997,0.0006781304752014887,0.0,0.012406892976235855,-1.4340127401337952e-06,0.00038098382261939973,0.0,-9.4464645720033e-05,0.0006071820859314623,1025996,KILROY REALTY CORP,2015-01-29
94,-0.005690065026030888,-0.001566220736734397,0.005979247691634627,4.8045762851468584e-05,0.003797888082708552,-0.3460793229094376,2.1444106724071567e-08,0.0005084282976533808,-1.6924924920204865e-06,-0.028996128299274376,-3.3825758989991735e-05,0.019575156849027397,-0.007429426364390313,-0.00010971148495927918,-6.174336286264315e-05,-0.00014939858916852576,3.953051501082671e-05,-7.014484160899947e-06,-0.008133487389350331,-0.0037807516078226613,0.007435053528354115,-4.029247550423004e-05,-0.0003971417685166494,0.0,-0.0006708084354977223,1.1556816502648825e-09,0.00037355555183998514,0.005500411670583982,5.532247529858582e-05,-0.00040610183178936446,103730,VISHAY INTERTECHNOLOGY INC,2015-02-05
130,-0.03455909214744816,-0.11007468057013228,0.023587695581870335,-0.0016193131976815697,0.014542503511424382,7.637352249576945e-05,-6.589317838924913e-05,0.0018143345618749419,0.00520066940228303,-0.013911244551761251,0.0013974639409793988,0.002609041967936054,-0.012710297720448942,-0.002592206677314343,-0.00029513991798923024,0.0041012784324078065,-1.992281897809536e-05,-0.39690976690584717,-0.035041033410330144,-0.036608997483861226,0.002779633384621052,-0.00012659136852958115,-0.004028517558432954,0.0,0.003152973033773115,-3.5511638755557823e-06,0.007804224259053065,0.0,0.0005611788554720684,0.0002791227042284287,1038074,SILICON LABORATORIES INC,2015-02-04
174,-0.017544064942436797,-0.07584844410520336,0.005500760599332258,-0.001217976216354368,0.012150451348323047,-0.05461813797536575,-3.565280303521354e-05,0.0007296023201183888,0.0028139246942307256,-0.02984589843577402,0.001215775812372496,0.024507800888691884,0.0007236574390179008,-0.0014419042680394495,-0.0020539245267555653,-0.0005923596211200163,-1.5411270376953867e-05,-0.0002614062803851267,-0.02700805622436851,-0.025829554104452264,0.2798949665506776,-4.411260000708587e-05,-0.000985083004383438,0.0,-0.0002891152474426524,-1.9214272144081727e-06,0.0039773680077301084,0.0,0.00013722361760287822,-0.00043554600548812616,1056696,MANHATTAN ASSOCIATES INC,2015-02-03
206,-0.09772794039529646,-2.5637204117793084e-05,-0.0018371546148556691,8.574140028310241e-07,0.0007338453060641366,-3.635868614489733e-05,-2.2437943354465876e-07,-0.0010766805289760914,1.7709318066947207e-05,0.00024158040862627336,-0.004924947491046156,-0.005626993140209595,-0.05055155656302119,0.0005676151108983074,-0.0014902617875556243,-0.00019436707106985622,1.8222847787863792e-05,-5.215733886943314e-06,-0.20068555989020426,-0.07022505796530475,-0.00035647516083372045,-8.815670202543133e-05,-0.008517145845529836,0.0,0.004979676686334092,-1.2092422285574024e-08,-2.1295775335664177e-05,0.0,0.3724690660594595,0.0004543083321480956,1062449,BUFFALO WILD WINGS INC,2015-02-05
248,-0.05185581820520554,0.00019269094919467796,0.07615157928848897,2.6393093506950872e-06,0.0018881801820797436,3.357859906974449e-05,0.012728161122268933,0.028944358123438492,0.009994285559470907,-1.439162331039693e-05,0.0007903039178601219,0.05696210696095303,-0.07927247618645782,-0.00042818463184329065,0.007424076205878937,0.007614233307910465,0.006264729640176532,5.2700697498899e-05,-0.06488756343263165,-0.04408815963890654,-0.000737725073323059,-0.00047553384408634557,0.0007758102980564057,0.0,0.006626155254006191,0.0004025426257955442,0.35316950700784877,0.0,-0.00010807159924508086,-0.00026635835602421853,1077771,UMPQUA HOLDINGS CORP,2015-01-28
294,-0.07455808221479795,5.4599663314983036e-05,-0.0011672098296475386,-2.0609037081952364e-06,-0.0007427776847453699,-0.0017416276584705116,5.980422724916076e-08,0.002382563380605776,-4.720094285702819e-06,-0.0005610698644047012,0.0007860695971063521,0.011639941384501926,-0.007732255854028439,0.0004632090580007967,0.0008502483278546004,-0.000696683022447942,-3.941295096656865e-05,1.0791844956549531e-05,-0.11370315200019623,-0.061321125627174185,0.0010018906352843335,-7.447286922592361e-05,-0.3905806083361939,0.0,0.0032560572577520867,3.2230136199864748e-09,-9.913408369943e-05,0.0,0.0007844305385649078,0.0004388700906931432,1128928,FLOWERS FOODS INC,2015-02-12
342,-0.08216330691264943,-0.0006630451480826153,0.0496986322708501,-4.804632281092432e-06,-0.0014044022699741547,3.0905054941337914e-07,2.522755210854194e-07,0.060566007977947554,-1.9911038069883247e-05,0.0008977064036918918,0.0026799866637767984,-0.0008721285373774864,-0.002563923411586199,-0.0003111428167221647,-0.006776939318819558,0.0001308986410946093,0.3863477642852582,-3.499553123598559e-08,-0.11362992271948355,-0.038762885004393885,0.0003918322483028126,-0.00012054590186156169,0.001244734452799605,0.0,0.012366319999067179,1.35958188550777e-08,0.0001657090160865166,0.0,-0.00017339347426363196,0.00045711341505027376,1143068,GREAT PLAINS ENERGY INC,2015-02-25
389,-0.07659232545118506,-3.350134290170203e-05,0.082136687454088,-2.458959670779942e-06,0.00030770053110762587,-5.04566153318556e-05,-1.2401814425610378e-05,0.00248599712731907,0.0009788226701565113,-0.000394125699997578,0.009594467156448449,-0.007435686118523801,-0.04846593883425493,-0.0003015070563471735,0.0029779941171738486,0.002902546343920018,-3.4561987349695528e-06,-6.838949284576794e-06,-0.17744562367300942,-0.05006716962995423,-0.0005958629720920786,-0.0006517137667986191,-0.008102870569339095,0.0,0.3806272067386178,-6.683677499879057e-07,-3.834690067742589e-05,0.0,0.0011287426618313684,-0.0011892356705631186,1179929,MOLINA HEALTHCARE INC,2015-02-09
419,-0.05496760212620552,-0.0009517817099508284,0.06759410465268845,-0.00021207663170609795,9.952119388719815e-05,-0.021307002730566668,0.03932181082179407,0.009339535097444689,0.012495516613409167,-0.03939957247874245,0.019223048112389667,0.03630971617968426,-0.03729135015442498,6.05462096376115e-05,0.018824179755354227,-0.0025726729629874127,-0.0001666038700111536,-0.0002073276219877016,-0.11510030784548146,-0.0374242081944992,0.08388112074030223,-0.0009705687266639367,-0.003106214322105373,0.0,0.0069750740516208755,0.3537579832066481,0.0008476375508020057,0.01530198982134795,0.00043270055866607705,-0.0014645208760026324,1265888,NEUSTAR INC,2015-02-03
