,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,CIK,Company Name,Date Filed
13,-0.027430763708234846,-0.0015178111870763733,0.040688026297487516,-0.0006133416710686494,7.905156242726756e-05,-8.736544304628701e-05,0.033019546384734526,0.13656450701017392,-0.027292172095481817,0.005552346407258034,0.00047361838652239236,-0.0004580879120298973,-0.007894161729484175,-0.003539433238884149,0.09301030979995352,0.0006289381166293379,0.01921023383986626,-0.07594932327208893,-0.028053514200379267,-0.0034979655557676216,-0.0007237071574793738,-0.060891452450129446,-0.002380984534553177,-0.0020137007457105005,0.01581953970322333,0.00015398440904990942,-0.0005345493843816601,-0.014256404792760568,0.02448029994139468,0.03144805480596269,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,2/19/2015
52,0.0016586112331445798,0.000359861652685435,0.033581496504532855,-0.001812118094208878,-9.694428809771664e-06,-0.00075674534873529,-0.001348977498862387,0.19935282333746737,-0.03858534484806044,-0.002938865780894531,-2.907166537501128e-05,2.7351149351976698e-05,-0.00037898308471865874,0.0010075183321083712,-0.006013149908548556,-3.802897492354737e-05,-0.0012545700732882342,0.0006265479980831674,-0.1571484485804849,-0.0008988292072975198,4.02926696854675e-05,0.007208118081320135,0.00028185265721675007,0.00029831290754004345,0.07577924999598477,2.767429994375534e-05,-0.06729760314889863,-0.0061620716552228715,-0.005039357807740931,-0.011014416631051587,1013462,ANSYS INC,2/26/2015
101,-0.003501542008005056,-0.0004647624609366833,0.04390117251637934,0.00034921609020042933,4.803542837363889e-05,0.0019424027736929987,0.2096166048411025,-0.0006349466128746266,-0.028587533698940775,0.10863044626542662,6.157048537226303e-05,-5.732599994296583e-05,0.00840725843075752,-0.0009944476818202895,0.007504155735175105,8.028406570219127e-05,-0.0019610212217673964,-0.0570289679216473,-0.0849482592826514,-0.0026142836033892208,-0.00031375989125772695,-0.011637831051531888,-0.00045506380016365096,8.176671444100987e-05,0.005995538295111622,-7.51596489175894e-05,0.0003523495777947107,-0.005745338696851602,0.002506591220490631,-0.002315236957570093,1032220,MAXIMUS INC,2/9/2015
134,-0.0017293361668704924,0.001474243767064249,0.0017624950996494616,-0.00037174494283589716,0.24103966780496194,-0.0007086225294677123,0.001759148358779742,0.0009002487718014054,-0.0028418532914559116,0.003309481242124671,2.945805376050688e-05,-2.9027824841452568e-05,-0.0008903179687699742,-0.0034511194551244393,0.00023402050638410458,3.965057055571548e-05,0.0007126239065958308,-0.018219879348801142,-0.007511093068016346,-0.0014777261346375096,-0.0031245681000966062,-0.004490072095407134,-0.0001755713123602857,-7.66486687005726e-05,0.0013873877022303692,4.383341303901934e-05,-0.0025562594175715567,-0.0017594985077798297,0.0007780886948440531,0.0005932437161048666,103730,VISHAY INTERTECHNOLOGY INC,2/5/2015
170,-0.018567629246312226,0.05697592546512629,0.020127650138234275,0.002398975147232187,-0.0005170843206943889,5.326253018257887e-05,-0.004533775958832147,-0.000505533772957051,-0.032037385818763,-0.0013660459575149208,0.0003206519261004977,-0.0003119532299676156,-0.0012240800185596638,-0.14684717545356296,0.022919866512304602,0.000425722371154459,0.057564428767397355,-0.011229470959654814,-0.05087829094705352,-0.0023342720260695624,0.004701122007995864,-0.03173344143727399,0.00228902660891267,-0.00035080727779362303,0.02261977682352899,9.877531265778004e-05,0.001923880342987592,0.0018403180160451124,0.039087312963696046,0.004401130428745935,1038074,SILICON LABORATORIES INC,2/4/2015
214,-0.0045647790777957045,0.037886208703606795,0.011083142826139333,0.0016843100202190132,0.016506719323037277,0.000427723315749335,-0.0011746953742154563,0.0011505211804430028,-0.014317589834695527,0.0030025537969126954,7.906725199900548e-05,-7.663462479952646e-05,-0.0021002121802096044,-0.07027105949519376,0.0007390728327590254,0.00010466218099337717,0.017939673112085282,-0.02364632944505978,-0.023603892899253322,-0.00456973030648416,0.2215102385865277,-0.00921474043749313,-0.00036031583397623935,-0.00021051366786457767,0.004652460567605983,4.159510333205109e-06,0.00034090236924413404,-0.006321499109004272,0.006468863089375259,0.0007976296911999775,1056696,MANHATTAN ASSOCIATES INC,2/3/2015
246,-0.03819209205898621,0.05839496156365319,0.028947968259619615,0.0005782809148308317,0.0001700168605382823,-0.0014449757224411152,-0.001705615456032962,0.0006099230469089028,-0.07286098407651805,0.03409561844167519,0.0006586690661392846,-0.0006423096824994085,-0.01023914133437807,-0.04067654746276268,0.0026850517742915045,0.0008756760367740695,0.03161255703690693,-0.04965199422338983,-0.08857941322556476,0.0010893743149155966,-0.0016358570004847619,-0.0074212962281837765,0.005048460656374283,0.04368052639499775,0.0312721494283631,0.0002786219508555606,-0.0008246723988021231,-1.1608551785241897e-05,0.01378424332908053,0.018029145955367157,1062047,CONVERGYS CORP,2/18/2015
258,-0.04284973042789231,-0.0004111788256537793,0.025981683452390627,-0.007304311532410894,-0.0008526075499333597,0.0006115518575536009,0.0026900389055704212,-0.00047667188444871703,-0.03674081380471844,-0.005116093157424129,0.0007402677804603023,-0.000719470986776078,-0.023681404961690897,-0.0006328546587264324,0.12007477202565348,0.0009824673144372918,-0.00025582748809194216,-0.07992505932201943,-0.00877774555212176,-0.0005229327575887168,0.007784632891724129,-0.03601702850118766,-0.0014083419657647943,-0.002871775918313177,0.05012441626552403,0.0002042343674104094,-0.005151604135335371,0.008459851307854913,0.04594066802125822,0.05091401085032381,1078075,NETSCOUT SYSTEMS INC,1/22/2015
298,-0.04982474690619756,0.015353353492122822,0.03353316069619074,0.0025218271704512568,0.0001377377993588795,-0.0012120584787633948,-0.0019251274945494168,-0.001165923575254514,-0.04020840842298413,0.04968884335323944,0.0008596717942999987,-0.0008377706449255314,7.400829411982958e-05,-0.013891421982672984,0.0011849630802710264,0.0011423919076416344,0.001553313578200545,-0.05217405598544175,-0.13422352464829626,0.0007244592944225211,-0.0013278919733032903,-0.030881843775627724,-0.00120754538559378,0.09643230858487656,0.014754196246099586,0.0003308198012211998,-0.010475963573442668,-0.03742671387538529,-0.013845248680259532,0.06280734091650696,1111928,IPG PHOTONICS CORP,2/9/2015
299,-0.0606074187592085,0.001304837498649399,0.033752476845099695,-0.004628283805701003,-1.4028053304072838e-05,-0.000879049759648646,-0.0010755816412436592,-0.0018215911798851474,-0.029979981884388614,0.08686636854366638,0.0010460542360455057,-0.0010182745087230613,-0.0011311988912461098,0.0033499138157547003,0.004296906489784357,0.0013896191959372566,-0.004689506676660384,-0.052881769134121216,-0.14168730771020435,-0.00139701400360865,7.194155300388091e-05,-0.0405208001314729,-0.0015844489589039552,0.1615168609992212,0.027352120688611967,0.00037351966764357546,-0.0001208023195112625,-0.009778903345157052,-0.006108348122616797,0.1061365093045304,1111928,IPG PHOTONICS CORP,2/20/2015
