,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
11,1018003,INGRAM MICRO INC,2015-02-26,gaap,related,measures,financial,february,these,with,non,press,results
58,1025996,KILROY REALTY CORP,2015-01-29,furnished,information,january,quarter,supplemental,corporation,for,deemed,shall,december
59,1025996,KILROY REALTY CORP,2015-02-11,federal,law,maryland,income,tax,corporation,states,prospectus,company,supplemental
94,103730,VISHAY INTERTECHNOLOGY INC,2015-02-05,common,shares,diluted,stock,share,price,earnings,per,amount,market
95,103730,VISHAY INTERTECHNOLOGY INC,2015-02-20,dividend,common,lori,cash,february,march,stock,class,stockholders,press
96,103730,VISHAY INTERTECHNOLOGY INC,2015-03-04,base,based,chief,lori,approximately,salary,officer,officers,compensation,march
97,103730,VISHAY INTERTECHNOLOGY INC,2015-03-13,due,effective,rate,senior,price,lori,dividend,march,adjusted,each
128,1038074,SILICON LABORATORIES INC,2015-01-08,senior,january,from,operations,officer,vice,officers,john,july,president
129,1038074,SILICON LABORATORIES INC,2015-01-30,revenue,inc,officers,margin,january,plan,john,directors,certain,based
130,1038074,SILICON LABORATORIES INC,2015-02-04,measures,gaap,february,press,results,non,information,financial,release,inc
131,1038074,SILICON LABORATORIES INC,2015-02-04,sale,agreement,international,january,inc,purchase,capital,february,million,consideration
174,1056696,MANHATTAN ASSOCIATES INC,2015-02-03,our,adjusted,income,measures,we,net,operating,gaap,compensation,per
206,1062449,BUFFALO WILD WINGS INC,2015-02-05,february,release,press,inc,furnished,fourth,financial,commissionfile,results,jurisdictionof
248,1077771,UMPQUA HOLDINGS CORP,2015-01-28,holdings,january,fourth,release,quarter,corporation,full,investor,year,financial
249,1077771,UMPQUA HOLDINGS CORP,2015-02-17,holdings,february,corporation,street,signaturespursuant,announced,april,one,kcurrent,events
250,1077771,UMPQUA HOLDINGS CORP,2015-03-16,shareholders,quarterly,dividend,payable,corporation,approved,april,holdings,march,announced
251,1077771,UMPQUA HOLDINGS CORP,2015-03-30,conference,announcing,holdings,corporation,quarterly,call,march,earnings,press,release
