,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
11,1018003,INGRAM MICRO INC,2015-02-26,micro,february,financial,gaap,related,ingram,measures,non,exchange,act
58,1025996,KILROY REALTY CORP,2015-01-29,supplemental,january,kilroy,information,corporation,realty,act,exchange,furnished,quarter
59,1025996,KILROY REALTY CORP,2015-02-11,law,bylaws,income,maryland,corporation,federal,realty,kilroy,tax,prospectus
94,103730,VISHAY INTERTECHNOLOGY INC,2015-02-05,average,shares,eps,conversion,stock,diluted,convertible,vishay,debentures,price
95,103730,VISHAY INTERTECHNOLOGY INC,2015-02-20,february,vishay,lori,pursuant,act,report,march,exchange,common,cash
96,103730,VISHAY INTERTECHNOLOGY INC,2015-03-04,officers,approximately,salary,base,vishay,march,executive,lori,compensation,based
97,103730,VISHAY INTERTECHNOLOGY INC,2015-03-13,convertible,conversion,debentures,vishay,effective,rate,price,senior,lori,march
128,1038074,SILICON LABORATORIES INC,2015-01-08,officers,january,july,laboratories,officer,operations,senior,silicon,vice,president
129,1038074,SILICON LABORATORIES INC,2015-01-30,laboratories,silicon,january,plan,officers,bonus,margin,revenue,directors,exchange
130,1038074,SILICON LABORATORIES INC,2015-02-04,silicon,financial,gaap,measures,february,laboratories,results,non,information,press
131,1038074,SILICON LABORATORIES INC,2015-02-04,capital,laboratories,international,silicon,january,agreement,sale,purchase,february,million
174,1056696,MANHATTAN ASSOCIATES INC,2015-02-03,measures,operating,net,adjusted,income,gaap,compensation,costs,share,equity
206,1062449,BUFFALO WILD WINGS INC,2015-02-05,release,february,exchange,press,pursuant,registrant,act,cfr,rule,furnished
248,1077771,UMPQUA HOLDINGS CORP,2015-01-28,act,january,quarter,fourth,holdings,exchange,release,corporation,year,investor
249,1077771,UMPQUA HOLDINGS CORP,2015-02-17,holdings,february,act,exchange,conversion,registrant,rule,pursuant,cfr,corporation
250,1077771,UMPQUA HOLDINGS CORP,2015-03-16,pursuant,registrant,holdings,march,exchange,corporation,act,cfr,rule,payable
251,1077771,UMPQUA HOLDINGS CORP,2015-03-30,holdings,quarterly,earnings,march,conference,announcing,exchange,act,corporation,pursuant
294,1128928,FLOWERS FOODS INC,2015-02-12,february,release,pursuant,flowers,exchange,press,act,exhibit,condition,financial
295,1128928,FLOWERS FOODS INC,2015-02-25,press,february,flowers,release,exchange,pursuant,act,officers,directors,registrant
340,1143068,GREAT PLAINS ENERGY INC,2015-01-02,energy,kcp,plains,great,limited,city,factors,kansas,effects,gmo
341,1143068,GREAT PLAINS ENERGY INC,2015-02-17,awards,great,energy,kansas,kcp,plains,performance,city,mr,gmo
342,1143068,GREAT PLAINS ENERGY INC,2015-02-25,great,kcp,lori,energy,february,city,missouri,kansas,gmo,plains
343,1143068,GREAT PLAINS ENERGY INC,2015-03-18,kansas,energy,missouri,gmo,great,city,plains,information,kcp,presentation
344,1143068,GREAT PLAINS ENERGY INC,2015-03-30,energy,kcp,kansas,city,plains,great,gmo,missouri,lori,investor
388,1179929,MOLINA HEALTHCARE INC,2015-01-13,conference,healthcare,january,company,slide,presentation,act,annual,molina,exchange
389,1179929,MOLINA HEALTHCARE INC,2015-02-09,molina,fourth,december,release,exchange,february,act,press,healthcare,results
390,1179929,MOLINA HEALTHCARE INC,2015-02-12,molina,healthcare,presentation,investor,slide,february,conference,act,company,press
419,1265888,NEUSTAR INC,2015-02-03,act,release,february,neustar,exchange,report,earnings,fourth,financial,adjusted
420,1265888,NEUSTAR INC,2015-03-04,march,update,number,dated,exchange,neustar,act,report,press,release
421,1265888,NEUSTAR INC,2015-03-26,program,press,share,release,march,repurchase,neustar,announcing,act,exchange
