,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
11,1018003,INGRAM MICRO INC,2015-02-26,gaap,measur,micro,non,view,relat,ingram,associ,financi,exclud
58,1025996,KILROY REALTY CORP,2015-01-29,realti,kilroy,act,exchang,supplement,distribut,corpor,kilroyrealti,januari,inform
94,103730,VISHAY INTERTECHNOLOGY INC,2015-02-05,dilut,vishay,convert,share,stock,price,debentur,averag,convers,ep
130,1038074,SILICON LABORATORIES INC,2015-02-04,silicon,non,measur,laboratori,gaap,provid,inform,result,financi,oper
174,1056696,MANHATTAN ASSOCIATES INC,2015-02-03,adjust,incom,measur,compens,net,oper,acquisit,equiti,per,share
206,1062449,BUFFALO WILD WINGS INC,2015-02-05,wing,februari,wild,exhibit,press,exhibitdescript,buffalo,releas,financi,fourth
248,1077771,UMPQUA HOLDINGS CORP,2015-01-28,fourth,slide,hold,umpqua,year,januari,corpor,exchang,act,full
294,1128928,FLOWERS FOODS INC,2015-02-12,exhibit,press,inc,ii,flower,releas,week,food,januari,februari
342,1143068,GREAT PLAINS ENERGY INC,2015-02-25,kcp,press,plain,februari,releas,document,energi,great,exhibit,inform
389,1179929,MOLINA HEALTHCARE INC,2015-02-09,fourth,healthcar,molina,februari,amend,exhibit,year,decemb,cite,press
419,1265888,NEUSTAR INC,2015-02-03,current,act,incom,adjust,fourth,neustar,februari,report,announc,releas
448,1287865,MEDICAL PROPERTIES TRUST INC,2015-02-12,million,decemb,year,fund,disclos,medic,gaap,end,measur,quarter
499,18349,SYNOVUS FINANCIAL CORP,2015-01-27,exhibit,current,slide,januari,inform,pursuant,act,document,file,supplement
517,310142,SENSIENT TECHNOLOGIES CORP,2015-02-06,disclos,technolog,year,sensient,exhibit,decemb,corpor,current,press,form
540,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-05,march,exhibitno,technolog,releas,press,esterlin,corpor,financi,read,note
560,350797,EATON VANCE CORP,2015-02-25,januari,document,februari,news,registr,exhibit,describ,three,date,herewith
571,355811,GENTEX CORP,2015-01-28,news,section,exhibit,gentex,form,attach,januari,financi,shall,file
644,46195,BANK OF HAWAII CORP,2015-01-26,bank,exhibit,hawaii,address,public,hyperlink,januari,corpor,intend,internet
657,52827,RAYONIER INC,2015-02-12,financi,item,oper,statement,result,condit,exhibit,,,
680,67215,DYCOM INDUSTRIES INC,2015-02-25,compani,measur,non,gaap,forward,relat,may,materi,revenu,look
682,67215,DYCOM INDUSTRIES INC,2015-02-27,non,compani,gaap,measur,forward,transcript,confer,revenu,form,call
701,70145,NATIONAL FUEL GAS CO,2015-01-30,ga,compani,chang,natur,project,cost,oil,obtain,rate,plan
719,701811,MENTOR GRAPHICS CORP,2015-02-26,graphic,outlook,fourth,full,mentor,compani,fiscal,year,first,commiss
787,706688,AARON'S INC,2015-02-06,progress,million,compani,retir,charg,adjust,investig,acquisit,relat,matter
843,720672,STIFEL FINANCIAL CORP,2015-02-23,stifel,listen,referenc,broadcast,live,februari,call,web,site,exhibit
880,73088,NORTHWESTERN CORP,2015-02-12,northwestern,provid,guidanc,found,nwe,concern,nyse,shall,rang,assumpt
921,73756,OCEANEERING INTERNATIONAL INC,2015-02-11,unless,refer,incorpor,amend,identifi,therein,fourth,act,secur,furnish
956,74303,OLIN CORP,2015-02-06,olin,februari,exhibit,instruct,compani,amend,press,preliminari,releas,financi
1056,7536,ARROW ELECTRONICS INC,2015-02-05,cfo,press,februari,fourth,commentari,releas,hereto,act,earn,exhibit
1074,799729,PAREXEL INTERNATIONAL CORP,2015-01-12,book,decemb,bill,compani,januari,quarter,fiscal,final,consolid,win
1075,799729,PAREXEL INTERNATIONAL CORP,2015-01-29,act,exchang,exhibit,januari,parexel,connect,file,intern,full,financi
1101,861361,B/E AEROSPACE INC,2015-01-29,aerospac,act,exchang,herebi,shall,file,refer,deem,includ,januari
