,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
13,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,2/19/2015,remark,regard,estim,compani,result,januari,accompani,prepar,slide,quarter
52,1013462,ANSYS INC,2/26/2015,februari,remark,document,exhibit,date,registr,copi,press,releas,item
101,1032220,MAXIMUS INC,2/9/2015,result,slide,call,confer,item,form,accompani,transcript,text,respect
134,103730,VISHAY INTERTECHNOLOGY INC,2/5/2015,dilut,share,stock,convers,convert,price,princip,debentur,ep,comput
170,1038074,SILICON LABORATORIES INC,2/4/2015,financi,result,measur,supplement,gaap,inform,februari,addit,press,investor
214,1056696,MANHATTAN ASSOCIATES INC,2/3/2015,adjust,acquisit,share,incom,measur,cost,gaap,compens,perform,competitor
246,1062047,CONVERGYS CORP,2/18/2015,gaap,press,releas,februari,speak,therein,date,affair,statement,cautionari
258,1078075,NETSCOUT SYSTEMS INC,1/22/2015,januari,compani,exhibit,hold,expressli,topic,herebi,file,intent,futur
298,1111928,IPG PHOTONICS CORP,2/9/2015,februari,form,regist,extent,act,file,schedul,result,preliminari,corpor
299,1111928,IPG PHOTONICS CORP,2/20/2015,corpor,februari,exhibit,act,forth,file,conditionon,form,text,specif
325,1169561,COMMVAULT SYSTEMS INC,1/28/2015,decemb,act,januari,section,conditionon,releas,exhibit,item,press,pursuant
356,1177394,SYNNEX CORP,1/12/2015,meet,day,date,headquart,stockhold,bylaw,propos,provis,corpor,record
359,1177394,SYNNEX CORP,3/31/2015,file,act,exhibit,march,exchang,press,section,inform,text,refer
395,1262039,FORTINET INC,1/28/2015,refer,act,januari,exhibit,exchang,file,press,decemb,releas,secur
418,1265888,NEUSTAR INC,2/3/2015,incom,call,act,februari,report,replay,exhibit,incorpor,press,guidanc
464,1280452,MONOLITHIC POWER SYSTEMS INC,2/4/2015,exhibit,act,decemb,year,announc,mp,index,releas,press,end
486,23082,COMPUTER SCIENCES CORP,2/9/2015,risk,factor,offic,intent,statement,file,subsequ,februari,compani,monday
506,2488,ADVANCED MICRO DEVICES INC,1/20/2015,cost,loss,sever,gaap,charg,compani,non,goodwil,asset,impair
529,310568,MICROSEMI CORP,1/22/2015,author,program,januari,price,share,corpor,repurchas,event,board,exhibit
548,701811,MENTOR GRAPHICS CORP,2/26/2015,outlook,date,commiss,year,compani,result,quarter,announc,februari,secur
577,703361,INTEGRATED DEVICE TECHNOLOGY INC,2/2/2015,press,dissemin,februari,gaap,financi,exhibit,measur,regul,releas,entireti
599,70866,NCR CORP,2/10/2015,februari,outlook,quarter,copi,compani,post,year,herebi,discuss,materi
638,714603,DST SYSTEMS INC,1/29/2015,news,act,exhibit,januari,hereof,file,item,date,conditionse,concern
659,733269,ACXIOM CORP,2/4/2015,measur,cash,gaap,compani,avail,incom,flow,segment,exclud,non
724,749251,GARTNER INC,2/5/2015,exhibit,month,decemb,twelv,act,instruct,form,file,exchang,respect
817,7536,ARROW ELECTRONICS INC,2/5/2015,februari,cfo,act,releas,registr,press,exhibit,file,commentari,exchang
841,772406,CIRRUS LOGIC INC,1/28/2015,text,month,form,year,compani,press,januari,report,quarter,condit
867,790703,TECH DATA CORP,3/19/2015,gaap,januari,incom,non,month,twelv,end,margin,tax,dilut
887,797721,VIASAT INC,2/10/2015,exhibit,file,februari,section,press,hereof,specif,number,issu,languag
947,813672,CADENCE DESIGN SYSTEMS INC,2/4/2015,releas,exhibitsexhibit,exhibit,year,februari,januari,press,result,item,herein
971,814547,FAIR ISAAC CORP,1/29/2015,exhibit,financi,condit,statement,item,result,,,,
1006,817720,SYNAPTICS INC,1/29/2015,exhibit,report,form,avail,registr,document,chang,reserv,shell,circumst
1021,851205,COGNEX CORP,2/12/2015,hereto,news,act,decemb,file,februari,report,attach,languag,secur
1039,860731,TYLER TECHNOLOGIES INC,2/5/2015,result,news,releas,issu,condit,financi,februari,exhibit,decemb,hereto
1061,877212,ZEBRA TECHNOLOGIES CORP,3/17/2015,march,act,exhibit,posit,exchang,file,descript,decemb,refer,contain
1080,883241,SYNOPSYS INC,2/18/2015,measur,gaap,tax,non,busi,expens,cost,exclud,compens,settlement
1116,8858,AVNET INC,1/22/2015,herein,review,januari,incorpor,file,forth,result,section,refer,act
1128,895419,CREE INC,1/20/2015,item,exhibit,januari,releas,furthermor,press,compani,decemb,section,act
1161,898293,JABIL CIRCUIT INC,3/18/2015,exhibit,march,act,herewith,regardless,report,exchang,file,press,releas
1180,910638,3D SYSTEMS CORP,2/26/2015,exhibit,compani,herewith,sec,webcast,call,press,slide,plan,item
1227,936395,CIENA CORP,3/5/2015,januari,discuss,call,com,corpor,investor,websit,end,highlight,march
1267,1009626,BROCADE COMMUNICATIONS SYSTEMS INC,5/21/2015,compani,result,prepar,quarter,post,statement,estim,remark,brcd,includ
1286,1013462,ANSYS INC,5/6/2015,date,document,exhibit,remark,copi,press,item,releas,herein,statement
1321,1032220,MAXIMUS INC,5/12/2015,accompani,transcript,call,form,slide,respect,confer,text,item,result
1324,103730,VISHAY INTERTECHNOLOGY INC,5/5/2015,stock,debentur,ep,share,price,convers,dilut,princip,comput,convert
1351,1038074,SILICON LABORATORIES INC,4/29/2015,april,gaap,inform,measur,supplement,financi,result,addit,investor,press
1364,1056696,MANHATTAN ASSOCIATES INC,4/21/2015,compens,adjust,gaap,measur,share,acquisit,incom,cost,perform,competitor
1397,1062047,CONVERGYS CORP,5/5/2015,gaap,press,date,releas,therein,affair,speak,cautionari,statement,sinc
1413,1078075,NETSCOUT SYSTEMS INC,4/30/2015,expressli,april,hold,exhibit,compani,topic,file,herebi,futur,intent
1450,1111928,IPG PHOTONICS CORP,4/28/2015,specif,act,file,april,conditionon,forth,form,exhibit,corpor,text
1466,1169561,COMMVAULT SYSTEMS INC,5/5/2015,press,act,section,conditionon,releas,march,pursuant,exhibit,item,secur
1493,1177394,SYNNEX CORP,6/25/2015,file,act,june,exhibit,exchang,press,section,inform,text,refer
1520,1262039,FORTINET INC,4/20/2015,april,act,file,exhibit,refer,exchang,march,press,secur,herewith
1548,1265888,NEUSTAR INC,4/29/2015,call,releas,act,april,exhibit,copi,incorpor,replay,press,today
1580,1280452,MONOLITHIC POWER SYSTEMS INC,4/22/2015,director,vote,resolut,committe,promptli,polici,mp,board,resign,revenu
1632,23082,COMPUTER SCIENCES CORP,5/19/2015,risk,subsequ,file,litig,compani,tuesday,intent,factor,statement,reform
1661,2488,ADVANCED MICRO DEVICES INC,4/16/2015,impair,charg,loss,repres,stock,asset,gaap,cost,base,possibl
1690,310568,MICROSEMI CORP,4/23/2015,date,press,item,herein,april,statement,corpor,exhibit,releas,condit
1721,701811,MENTOR GRAPHICS CORP,5/22/2015,commiss,outlook,quarter,year,result,financi,compani,date,secur,exchang
1759,703361,INTEGRATED DEVICE TECHNOLOGY INC,5/4/2015,dissemin,exhibit,regul,press,releas,financi,measur,publicli,entireti,gaap
1780,70866,NCR CORP,4/28/2015,copi,april,compani,outlook,quarter,post,year,herebi,discuss,materi
1813,714603,DST SYSTEMS INC,4/23/2015,exhibit,act,conditionse,date,hereof,file,news,april,concern,item
1861,733269,ACXIOM CORP,5/21/2015,gaap,cash,flow,avail,measur,loss,segment,record,non,compani
1895,749251,GARTNER INC,5/7/2015,author,compani,stock,price,repurchas,market,substanti,succe,hand,prevail
1921,7536,ARROW ELECTRONICS INC,4/30/2015,april,releas,press,commentari,cfo,act,file,registr,exhibit,exchang
1939,772406,CIRRUS LOGIC INC,4/28/2015,press,text,april,year,result,form,compani,report,quarter,condit
1968,790703,TECH DATA CORP,5/28/2015,non,incom,gaap,month,margin,april,dilut,tax,share,end
1988,797721,VIASAT INC,5/19/2015,descript,section,file,specif,exhibit,press,hereof,languag,act,date
2009,813672,CADENCE DESIGN SYSTEMS INC,4/27/2015,exhibitsexhibit,april,press,exhibit,result,releas,item,end,herein,quarter
2025,814547,FAIR ISAAC CORP,4/23/2015,exhibit,financi,condit,statement,item,result,,,,
2047,817720,SYNAPTICS INC,4/23/2015,form,exhibit,report,avail,document,registr,chang,reserv,shell,circumst
2055,851205,COGNEX CORP,5/4/2015,act,file,news,april,hereto,languag,secur,report,attach,gener
2083,860731,TYLER TECHNOLOGIES INC,4/23/2015,number,news,releas,april,exhibit,condit,march,issu,financi,result
2123,877212,ZEBRA TECHNOLOGIES CORP,5/13/2015,file,act,exchang,exhibit,posit,descript,april,refer,contain,secur
2147,883241,SYNOPSYS INC,5/20/2015,measur,gaap,tax,non,bank,busi,cost,expens,exclud,compens
2160,8858,AVNET INC,4/23/2015,review,april,exhibit,result,incorpor,herein,forth,cfo,quarter,form
2170,895419,CREE INC,4/21/2015,exhibit,april,press,item,furthermor,compani,section,march,act,report
