,Ticker,Name,Price
197,KRC UN Equity,KILROY REALTY CORP,68.58
388,WR UN Equity,WESTAR ENERGY INC,57.07
215,MANH UW Equity,MANHATTAN ASSOCIATES INC,50.21
20,ARW UN Equity,ARROW ELECTRONICS INC,59.3
132,FII UN Equity,FEDERATED INVESTORS INC,25.995
261,OMI UN Equity,OWENS & MINOR INC,32.25
248,NWE UN Equity,NORTHWESTERN CORP,56.32
207,LPT UN Equity,LIBERTY PROPERTY TRUST,38.79
155,HII UN Equity,HUNTINGTON INGALLS INDUSTRIES INC,150.25
244,NSR UN Equity,NEUSTAR INC,21.65
183,JKHY UW Equity,JACK HENRY & ASSOCIATES INC,80.45
298,RPM UN Equity,RPM INTERNATIONAL INC,46.49
111,DY UN Equity,DYCOM INDUSTRIES INC,79.09
258,OII UN Equity,OCEANEERING INTERNATIONAL INC,24.045
71,CNO UN Equity,CNO FINANCIAL GROUP INC,16.065
144,GNTX UW Equity,GENTEX CORP,16.55
386,WPG UN Equity,WASHINGTON PRIME GROUP INC,9.81
48,CASY UW Equity,CASEY'S GENERAL STORES INC,111.5
316,SM UN Equity,SM ENERGY CO,32.12
128,FCN UN Equity,FTI CONSULTING INC,40.84
272,PLT UN Equity,PLANTRONICS INC,46.38
361,UMPQ UW Equity,UMPQUA HOLDINGS CORP,14.895
308,SF UN Equity,STIFEL FINANCIAL CORP,37.71
75,CR UN Equity,CRANE CO,66.95
158,HPT UW Equity,HOSPITALITY PROPERTIES TRUST,26.24
50,CBOE UW Equity,CBOE HOLDINGS INC,62.92
373,WAFD UW Equity,WASHINGTON FEDERAL INC,27.3
37,BOH UN Equity,BANK OF HAWAII CORP,73.94
350,TRMB UW Equity,TRIMBLE INC,25.515
169,IEX UN Equity,IDEX CORP,85.23
241,NFG UN Equity,NATIONAL FUEL GAS CO,51.54
286,RAX UN Equity,RACKSPACE HOSTING INC,31.99
51,CBRL UW Equity,CRACKER BARREL OLD COUNTRY STORE INC,133.82
181,JCOM UW Equity,J2 GLOBAL INC,67.93
222,MENT UW Equity,MENTOR GRAPHICS CORP,29.12
161,HSNI UW Equity,HSN INC,36.6
312,SKX UN Equity,SKECHERS U.S.A. INC,19.66
327,SXT UN Equity,SENSIENT TECHNOLOGIES CORP,73.76
104,DNR UN Equity,DENBURY RESOURCES INC,2.41
282,PTEN UW Equity,PATTERSON-UTI ENERGY INC,21.51
226,MOH UN Equity,MOLINA HEALTHCARE INC,53.45
266,PAY UN Equity,VERIFONE SYSTEMS INC,15.36
133,FLO UN Equity,FLOWERS FOODS INC,15.165
31,BEAV UW Equity,B/E AEROSPACE INC,58.895
280,PRXL UW Equity,PAREXEL INTERNATIONAL CORP,57.23
7,AFG UN Equity,AMERICAN FINANCIAL GROUP INC/OH,74.69
47,CAR UW Equity,AVIS BUDGET GROUP INC,36.89
368,VSH UN Equity,VISHAY INTERTECHNOLOGY INC,13.95
204,LIVN UW Equity,LIVANOVA PLC,45.97
363,UTHR UW Equity,UNITED THERAPEUTICS CORP,114.73
342,THS UN Equity,TREEHOUSE FOODS INC,69.87
320,SNV UN Equity,SYNOVUS FINANCIAL CORP,32.5
0,AAN UN Equity,AARON'S INC,24.91
313,SLAB UW Equity,SILICON LABORATORIES INC,58.95
252,ODFL UW Equity,OLD DOMINION FREIGHT LINE INC,73.89
170,IM UN Equity,INGRAM MICRO INC,38.28
124,EV UN Equity,EATON VANCE CORP,35.11
166,IDCC UW Equity,INTERDIGITAL INC/PA,69.0
360,ULTI UW Equity,ULTIMATE SOFTWARE GROUP INC/THE,210.17
32,BID UN Equity,SOTHEBY'S,34.68
97,DECK UN Equity,DECKERS OUTDOOR CORP,51.41
290,REG UN Equity,REGENCY CENTERS CORP,69.51
113,EDR UN Equity,EDUCATION REALTY TRUST INC,40.89
122,ESL UN Equity,ESTERLINE TECHNOLOGIES CORP,70.3
72,CNX UN Equity,CONSOL ENERGY INC,16.67
278,PPS UN Equity,POST PROPERTIES INC,66.55
229,MSA UN Equity,MSA SAFETY INC,56.15
46,CAKE UW Equity,CHEESECAKE FACTORY INC/THE,51.93
41,BWLD UW Equity,BUFFALO WILD WINGS INC,148.1
163,HYH UN Equity,HALYARD HEALTH INC,33.19
260,OLN UN Equity,OLIN CORP,21.525
250,NYT UN Equity,NEW YORK TIMES CO/THE,10.95
55,CDK UW Equity,CDK GLOBAL INC,56.23
154,HFC UN Equity,HOLLYFRONTIER CORP,24.01
149,GXP UN Equity,GREAT PLAINS ENERGY INC,27.8
63,CIEN UN Equity,CIENA CORP,19.31
276,POOL UW Equity,POOL CORP,91.4
300,RYN UN Equity,RAYONIER INC,26.6
147,GVA UN Equity,GRANITE CONSTRUCTION INC,46.72
227,MPW UN Equity,MEDICAL PROPERTIES TRUST INC,11.78
