,Freq,Freq_pct
agreement,1067,0.053839943485720056
credit,686,0.034614996467857505
item,627,0.03163790493490766
date,386,0.01947724291048542
exhibit,381,0.01922494701786255
bank,360,0.018165304268846504
compani,343,0.017307498233928752
facil,298,0.015036835200322939
agent,233,0.011756988596225653
termin,217,0.010949641739832476
statement,214,0.010798264204258754
note,206,0.010394590776062166
report,187,0.009435866384095267
merger,186,0.009385407205570693
term,185,0.00933494802704612
loan,176,0.008880815420324957
file,175,0.008830356241800383
form,174,0.00877989706327581
lender,161,0.008123927742456353
materi,157,0.007922091028358058
rate,153,0.007720254314259764
financi,151,0.007619335957210617
time,150,0.007568876778686043
incorpor,148,0.007467958421636896
subsidiari,144,0.007266121707538601
inform,142,0.007165203350489454
interest,137,0.006912907457866586
stock,135,0.006811989100817439
secur,134,0.006761529922292865
definit,133,0.006711070743768291
herein,128,0.006458774851145424
parti,128,0.006458774851145424
oblig,125,0.006307397315571703
thereto,121,0.006105560601473408
releas,110,0.005550509637703098
includ,109,0.0055000504591785244
share,108,0.005449591280653951
amount,108,0.005449591280653951
base,106,0.005348672923604803
limit,103,0.005197295388031083
nation,102,0.0051468362095065095
press,100,0.005045917852457362
registr,100,0.005045917852457362
balanc,92,0.0046422444242607734
corpor,87,0.004389948531637905
revolv,86,0.004339489353113331
event,86,0.004339489353113331
sheet,85,0.004289030174588758
amend,83,0.00418811181753961
june,83,0.00418811181753961
purchas,83,0.00418811181753961
creation,80,0.00403673428196589
borrow,78,0.003935815924916743
indentur,76,0.0038348975678675953
acquisit,75,0.0037844383893430216
receiv,75,0.0037844383893430216
descript,74,0.003733979210818448
decemb,74,0.003733979210818448
enter,73,0.003683520032293874
cash,72,0.0036330608537693005
requir,70,0.0035321424967201536
complet,70,0.0035321424967201536
capit,67,0.0033807649611464325
fund,67,0.0033807649611464325
march,67,0.0033807649611464325
effect,66,0.003330305782621859
asset,65,0.003279846604097285
commit,64,0.003229387425572712
administr,62,0.0031284690685235645
llc,61,0.0030780098899989908
default,60,0.003027550711474417
outstand,60,0.003027550711474417
ratio,60,0.003027550711474417
director,60,0.003027550711474417
addit,58,0.00292663235442527
respect,57,0.0028761731759006964
payment,57,0.0028761731759006964
princip,57,0.0028761731759006964
refer,56,0.0028257139973761228
octob,56,0.0028257139973761228
option,54,0.0027247956403269754
year,54,0.0027247956403269754
januari,53,0.0026743364618024017
provid,53,0.0026743364618024017
guarantor,53,0.0026743364618024017
transact,51,0.0025734181047532547
document,50,0.002522958926228681
plu,50,0.002522958926228681
fee,50,0.002522958926228681
februari,50,0.002522958926228681
period,49,0.0024724997477041074
juli,49,0.0024724997477041074
septemb,49,0.0024724997477041074
letter,48,0.0024220405691795337
restat,48,0.0024220405691795337
act,47,0.00237158139065496
vote,47,0.00237158139065496
exchang,46,0.0023211222121303867
section,46,0.0023211222121303867
mr,44,0.0022202038550812393
market,43,0.0021697446765566657
contain,43,0.0021697446765566657
result,43,0.0021697446765566657
sale,41,0.0020688263195075183
offer,40,0.002018367140982945
busi,39,0.0019679079624583713
truste,39,0.0019679079624583713
gener,38,0.0019174487839337976
month,38,0.0019174487839337976
case,38,0.0019174487839337976
qualifi,38,0.0019174487839337976
copi,37,0.001866989605409224
risk,37,0.001866989605409224
guarante,37,0.001866989605409224
connect,36,0.0018165304268846503
describ,36,0.0018165304268846503
margin,36,0.0018165304268846503
april,36,0.0018165304268846503
pay,35,0.0017660712483600768
sec,35,0.0017660712483600768
price,35,0.0017660712483600768
unit,34,0.001715612069835503
entireti,34,0.001715612069835503
end,34,0.001715612069835503
plan,33,0.0016651528913109294
defin,33,0.0016651528913109294
york,33,0.0016651528913109294
inc,33,0.0016651528913109294
proce,32,0.001614693712786356
hereto,32,0.001614693712786356
condit,31,0.0015642345342617822
debt,31,0.0015642345342617822
day,31,0.0015642345342617822
collater,30,0.0015137753557372085
forego,30,0.0015137753557372085
repay,30,0.0015137753557372085
issu,29,0.001463316177212635
matur,29,0.001463316177212635
leverag,29,0.001463316177212635
disclosur,29,0.001463316177212635
novemb,29,0.001463316177212635
employ,29,0.001463316177212635
payabl,29,0.001463316177212635
trust,29,0.001463316177212635
quarter,28,0.0014128569986880614
use,27,0.0013623978201634877
aggreg,27,0.0013623978201634877
supplement,27,0.0013623978201634877
delaney,27,0.0013623978201634877
holder,26,0.0013119386416389142
sub,25,0.0012614794631143405
financ,25,0.0012614794631143405
pursuant,25,0.0012614794631143405
line,25,0.0012614794631143405
co,25,0.0012614794631143405
chang,25,0.0012614794631143405
abil,25,0.0012614794631143405
arrang,25,0.0012614794631143405
announc,25,0.0012614794631143405
america,25,0.0012614794631143405
manag,24,0.0012110202845897668
ii,24,0.0012110202845897668
board,24,0.0012110202845897668
cost,24,0.0012110202845897668
part,23,0.0011605611060651934
customari,23,0.0011605611060651934
lead,23,0.0011605611060651934
portion,23,0.0011605611060651934
penalti,23,0.0011605611060651934
