,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,plan,plant,pichelli,picker,pierc,pipelin,place,placement,plaintiff,phrase,pleas,playback,plu,pledg,philadelphia,,,,,
1,provid,measur,financi,manag,share,tax,impact,non,believ,perform,gaap,reconcili,compar,dilut,accord,use,investor,incom,period,includ
2,platform,entireti,pierc,pipelin,supplement,place,placement,plaintiff,plan,plant,pichelli,platinum,plu,pledg,pmc,pm,philip,pleas,play,playback
3,plant,press,platinum,platform,plaintiff,plan,placement,,,,,,,,,,,,,
4,plan,plaintiff,platform,plant,play,,,,,,,,,,,,,,,
5,plaintiff,plan,platform,,,,,,,,,,,,,,,,,
6,philadelphia,phase,pledg,pleas,playback,play,platinum,platform,plant,plaintiff,placement,place,pipelin,pierc,picker,pichelli,phylli,phrase,philip,pm
7,plan,plaintiff,platform,plant,play,,,,,,,,,,,,,,,
8,platform,platinum,pierc,pipelin,place,placement,plaintiff,plan,plant,,,,,,,,,,,
9,plant,plan,outlook,platform,,,,,,,,,,,,,,,,
10,plan,platform,pichelli,picker,pierc,file,pipelin,place,placement,plaintiff,phrase,pleas,playback,plu,pledg,plant,play,philip,,
11,supplement,conditionon,novemb,period,june,regencycent,month,end,septemb,page,part,respect,instruct,electron,hereund,play,,,,
12,confer,call,review,slide,time,webcast,analyst,transcript,www,com,investor,access,discuss,accompani,site,replay,websit,avail,post,materi
13,investor,corpor,slide,pursuant,previou,quarter,result,conditionon,provid,end,teleconfer,,,,,,,,,
14,philadelphia,phase,pleas,playback,play,platinum,platform,plant,plan,plaintiff,placement,place,pipelin,pierc,picker,pichelli,phylli,phrase,philip,plu
15,hereof,languag,inform,com,avail,pursuant,contain,purpos,date,herewith,factor,websit,file,gener,supplement,includ,materi,secur,packag,addit
16,june,issu,announc,august,end,,,,,,,,,,,,,,,
17,pichelli,phrase,pmc,pm,plu,pledg,pleas,playback,play,platinum,platform,plant,plan,plaintiff,placement,place,pipelin,pierc,picker,policyhold
18,conditionon,quarterli,entireti,secur,result,issu,copi,dividend,descript,end,herein,item,incorpor,playback,,,,,,
19,year,text,commiss,announc,result,herebi,quarter,end,decemb,outlook,regard,date,,,,,,,,
20,pichelli,phrase,pmc,pm,plu,pledg,pleas,playback,play,platinum,platform,plant,plan,plaintiff,placement,place,pipelin,pierc,picker,
21,fd,conditionsect,earn,disclosur,futur,thereof,furnish,ofexhibit,item,herebi,host,access,regul,anditem,disclosureon,pursuant,exchang,assum,previou,investor
22,philadelphia,phase,pleas,playback,play,platinum,platform,plant,plan,plaintiff,placement,place,pipelin,pierc,picker,pichelli,phylli,phrase,philip,pm
23,behalf,timothi,damon,chief,toni,group,broadcast,presid,offic,author,thene,financ,duli,hereunto,vice,requir,period,sign,script,earn
24,platinum,quarter,pipelin,place,placement,plaintiff,plan,plant,platform,pierc,play,pm,pmc,,,,,,,
25,plan,plaintiff,platform,plant,play,placement,playback,place,,,,,,,,,,,,
26,end,herebi,quarter,hereto,incorpor,attach,languag,file,result,slide,refer,sec,relat,platinum,purpos,index,,,,
27,plant,supplement,condit,quarter,financi,respect,data,herebi,,,,,,,,,,,,
28,plan,plaintiff,platform,plant,play,,,,,,,,,,,,,,,
29,plant,platform,picker,pierc,pipelin,place,placement,plaintiff,plan,phylli,pledg,plu,,,,,,,,
